month,day,route_name,hour,direction_group,variant_type_v2
4,Sat,9,20,direction_A,
4,Sat,9,20,direction_B,
4,Sat,9,21,direction_A,blocked
4,Sat,9,21,direction_B,
4,Sat,9,22,direction_A,blocked
4,Sat,9,22,direction_B,
4,Sat,9,23,direction_A,blocked
4,Sat,9,23,direction_B,
4,Sat,17,20,direction_A,
4,Sat,17,20,direction_B,
4,Sat,17,21,direction_A,
4,Sat,17,21,direction_B,
4,Sat,17,22,direction_A,blocked
4,Sat,17,22,direction_B,blocked
4,Sat,17,23,direction_A,blocked
4,Sat,17,23,direction_B,blocked
4,Sat,19,20,direction_A,
4,Sat,19,20,direction_B,
4,Sat,19,21,direction_A,
4,Sat,19,21,direction_B,
4,Sat,19,22,direction_A,blocked
4,Sat,19,22,direction_B,blocked
4,Sat,19,23,direction_A,reference
4,Sat,19,23,direction_B,blocked
4,Sat,22,20,direction_A,
4,Sat,22,20,direction_B,
4,Sat,22,21,direction_A,
4,Sat,22,21,direction_B,
4,Sat,22,22,direction_A,blocked
4,Sat,22,22,direction_B,reference
4,Sat,22,23,direction_A,reference
4,Sat,22,23,direction_B,reference
4,Sat,97,20,direction_A,blocked
4,Sat,97,20,direction_B,blocked
4,Sat,97,21,direction_A,blocked
4,Sat,97,21,direction_B,blocked
4,Sat,97,22,direction_A,
4,Sat,97,22,direction_B,blocked
4,Sat,97,23,direction_A,blocked
4,Sat,97,23,direction_B,blocked
6,Sat,9,21,direction_A,blocked
6,Sat,9,21,direction_B,blocked
6,Sat,9,22,direction_A,blocked
6,Sat,9,22,direction_B,blocked
6,Sat,9,23,direction_A,blocked
6,Sat,9,23,direction_B,blocked
6,Sat,9,24,direction_A,
6,Sat,9,24,direction_B,
6,Sat,17,21,direction_A,blocked
6,Sat,17,21,direction_B,blocked
6,Sat,17,22,direction_A,blocked
6,Sat,17,22,direction_B,blocked
6,Sat,17,23,direction_A,blocked
6,Sat,17,23,direction_B,blocked
6,Sat,17,24,direction_A,
6,Sat,17,24,direction_B,
6,Sat,19,21,direction_A,blocked
6,Sat,19,21,direction_B,blocked
6,Sat,19,22,direction_A,blocked
6,Sat,19,22,direction_B,blocked
6,Sat,19,23,direction_A,reference
6,Sat,19,23,direction_B,reference
6,Sat,19,24,direction_A,
6,Sat,19,24,direction_B,
6,Sat,22,21,direction_A,blocked
6,Sat,22,21,direction_B,reference
6,Sat,22,22,direction_A,blocked
6,Sat,22,22,direction_B,non_corridor
6,Sat,22,23,direction_A,reference
6,Sat,22,23,direction_B,reference
6,Sat,22,24,direction_A,
6,Sat,22,24,direction_B,
6,Sat,97,21,direction_A,blocked
6,Sat,97,21,direction_B,blocked
6,Sat,97,22,direction_A,
6,Sat,97,22,direction_B,blocked
6,Sat,97,23,direction_A,blocked
6,Sat,97,23,direction_B,blocked
6,Sat,97,24,direction_A,blocked
6,Sat,97,24,direction_B,blocked
