route_name,day_label,month,share,n
9,Sun,1,0.0,32
9,Sun,2,0.0,35
9,Sun,3,0.0,36
9,Sun,4,0.0,18
9,Sun,5,0.0,14
9,Sun,6,0.0,29
9,Sun,7,0.09090909090909091,33
9,Sun,8,0.0,12
9,Sun,9,0.0,31
9,Sun,10,0.03571428571428571,28
9,Sun,11,0.0,23
9,Sun,12,0.0,34
9,Mon,1,0.0,34
9,Mon,2,0.0,35
9,Mon,3,0.0,26
9,Mon,4,0.0,13
9,Mon,5,0.8461538461538461,13
9,Mon,6,0.15,20
9,Mon,7,0.0,35
9,Mon,8,0.0,11
9,Mon,9,0.0,35
9,Mon,10,0.17391304347826086,23
9,Mon,11,0.045454545454545456,22
9,Mon,12,0.0,31
9,Tue,1,0.0,33
9,Tue,2,0.0,28
9,Tue,3,0.0,24
9,Tue,4,0.0,18
9,Tue,5,0.5,10
9,Tue,6,0.0,18
9,Tue,7,0.0,33
9,Tue,8,0.0,11
9,Tue,9,0.06666666666666667,30
9,Tue,10,0.0,35
9,Tue,11,0.0,27
9,Tue,12,0.0,35
9,Wed,1,0.058823529411764705,34
9,Wed,2,0.0,21
9,Wed,3,0.0,27
9,Wed,4,0.0,8
9,Wed,5,0.0,29
9,Wed,6,0.0,12
9,Wed,7,0.0,36
9,Wed,8,0.0,10
9,Wed,9,0.0,25
9,Wed,10,0.0,19
9,Wed,11,0.5517241379310345,29
9,Wed,12,0.15625,32
9,Thu,1,0.0,34
9,Thu,2,0.0,36
9,Thu,3,0.0,31
9,Thu,4,0.0,9
9,Thu,5,0.0,28
9,Thu,6,0.03125,32
9,Thu,7,0.03333333333333333,30
9,Thu,8,0.0,12
9,Thu,9,0.0,32
9,Thu,10,0.0,6
9,Thu,11,0.0,30
9,Thu,12,0.0,28
9,Fri,1,0.0,16
9,Fri,2,0.0,17
9,Fri,3,0.0,16
9,Fri,4,0.0,10
9,Fri,5,0.0,17
9,Fri,6,0.0,22
9,Fri,7,0.0,22
9,Fri,8,0.0,0
9,Fri,9,0.0,16
9,Fri,10,0.0,5
9,Fri,11,0.0,16
9,Fri,12,0.0,16
9,Sat,1,0.5,10
9,Sat,2,0.8,10
9,Sat,3,0.8,10
9,Sat,4,1.0,3
9,Sat,5,1.0,3
9,Sat,6,1.0,6
9,Sat,7,1.0,6
9,Sat,8,0.8333333333333334,6
9,Sat,9,1.0,7
9,Sat,10,1.0,6
9,Sat,11,0.9,10
9,Sat,12,0.6,5
14,Sun,1,0.0,33
14,Sun,2,0.0,33
14,Sun,3,0.0,32
14,Sun,4,0.0,25
14,Sun,5,0.0,33
14,Sun,6,0.0,33
14,Sun,7,0.0,33
14,Sun,8,0.0,8
14,Sun,9,0.0,21
14,Sun,10,0.0,33
14,Sun,11,0.0,24
14,Sun,12,0.0,33
14,Mon,1,0.0,33
14,Mon,2,0.0,33
14,Mon,3,0.0,30
14,Mon,4,0.0,28
14,Mon,5,0.0,26
14,Mon,6,0.0,20
14,Mon,7,0.0,33
14,Mon,8,0.0,8
14,Mon,9,0.0,24
14,Mon,10,0.0,26
14,Mon,11,0.0,23
14,Mon,12,0.0,31
14,Tue,1,0.0,32
14,Tue,2,0.0,23
14,Tue,3,0.0,28
14,Tue,4,0.0,31
14,Tue,5,0.0,27
14,Tue,6,0.0,21
14,Tue,7,0.0,33
14,Tue,8,0.0,7
14,Tue,9,0.0,15
14,Tue,10,0.0,33
14,Tue,11,0.0,30
14,Tue,12,0.0,33
14,Wed,1,0.0,33
14,Wed,2,0.0,28
14,Wed,3,0.0,31
14,Wed,4,0.0,24
14,Wed,5,0.0,33
14,Wed,6,0.0,17
14,Wed,7,0.0,33
14,Wed,8,0.0,8
14,Wed,9,0.0,16
14,Wed,10,0.0,21
14,Wed,11,0.0,29
14,Wed,12,0.0,30
14,Thu,1,0.0,33
14,Thu,2,0.0,33
14,Thu,3,0.0,31
14,Thu,4,0.0,30
14,Thu,5,0.0,33
14,Thu,6,0.0,33
14,Thu,7,0.0,32
14,Thu,8,0.0,8
14,Thu,9,0.0,16
14,Thu,10,0.0,7
14,Thu,11,0.0,33
14,Thu,12,0.0,33
14,Fri,1,0.0,18
14,Fri,2,0.0,18
14,Fri,3,0.0,16
14,Fri,4,0.0,22
14,Fri,5,0.0,24
14,Fri,6,0.0,22
14,Fri,7,0.0,22
14,Fri,8,0.0,0
