route_name,direction_group,route_variant_id,month,day_of_week,scheduled_departure_time,n_observations,variant_type_v2,day_label
9,direction_A,0,10,2,8,11,reference,Mon
9,direction_A,0,10,2,9,9,reference,Mon
9,direction_A,0,10,2,10,9,reference,Mon
9,direction_A,0,10,2,12,10,reference,Mon
9,direction_A,0,10,2,13,12,reference,Mon
9,direction_A,0,10,2,14,11,reference,Mon
9,direction_A,2,10,2,15,10,blocked,Mon
9,direction_A,0,10,2,19,9,reference,Mon
9,direction_A,0,10,2,20,10,reference,Mon
9,direction_A,0,10,2,21,9,reference,Mon
9,direction_A,2,10,2,23,8,blocked,Mon
9,direction_B,2,10,2,8,12,blocked,Mon
9,direction_B,0,10,2,9,8,reference,Mon
9,direction_B,0,10,2,10,9,reference,Mon
9,direction_B,0,10,2,11,9,reference,Mon
9,direction_B,0,10,2,12,11,reference,Mon
9,direction_B,0,10,2,13,10,reference,Mon
9,direction_B,0,10,2,14,10,reference,Mon
9,direction_B,0,10,2,15,12,reference,Mon
9,direction_B,0,10,2,19,9,reference,Mon
9,direction_B,0,10,2,20,9,reference,Mon
9,direction_B,2,10,2,22,7,blocked,Mon
9,direction_B,0,10,2,23,10,reference,Mon
17,direction_A,0,10,2,9,7,reference,Mon
17,direction_A,2,10,2,12,12,blocked,Mon
17,direction_A,2,10,2,13,8,blocked,Mon
17,direction_A,0,10,2,14,7,reference,Mon
17,direction_A,0,10,2,20,7,reference,Mon
17,direction_A,0,10,2,23,7,reference,Mon
17,direction_B,1,10,2,7,11,blocked,Mon
17,direction_B,1,10,2,12,8,blocked,Mon
17,direction_B,1,10,2,13,8,blocked,Mon
17,direction_B,1,10,2,19,8,blocked,Mon
17,direction_B,0,10,2,21,7,reference,Mon
19,direction_A,1,10,2,5,6,blocked,Mon
19,direction_A,1,10,2,6,21,blocked,Mon
19,direction_A,1,10,2,7,16,blocked,Mon
19,direction_A,1,10,2,8,15,blocked,Mon
19,direction_A,0,10,2,9,13,reference,Mon
19,direction_A,0,10,2,10,9,reference,Mon
19,direction_A,0,10,2,11,9,reference,Mon
19,direction_A,1,10,2,12,12,blocked,Mon
19,direction_A,1,10,2,13,16,blocked,Mon
19,direction_A,1,10,2,14,11,blocked,Mon
19,direction_A,1,10,2,15,18,blocked,Mon
19,direction_A,1,10,2,16,19,blocked,Mon
19,direction_A,0,10,2,17,13,reference,Mon
19,direction_A,0,10,2,18,12,reference,Mon
19,direction_A,0,10,2,19,11,reference,Mon
19,direction_A,0,10,2,20,10,reference,Mon
19,direction_A,0,10,2,21,11,reference,Mon
19,direction_A,1,10,2,22,12,blocked,Mon
19,direction_A,1,10,2,23,12,blocked,Mon
19,direction_A,0,10,2,24,10,reference,Mon
19,direction_A,0,10,2,25,10,reference,Mon
19,direction_A,0,10,2,26,5,reference,Mon
19,direction_B,1,10,2,6,24,blocked,Mon
19,direction_B,1,10,2,7,39,blocked,Mon
19,direction_B,1,10,2,8,44,blocked,Mon
19,direction_B,0,10,2,9,23,reference,Mon
19,direction_B,0,10,2,10,27,reference,Mon
19,direction_B,0,10,2,11,22,reference,Mon
19,direction_B,1,10,2,12,24,blocked,Mon
19,direction_B,1,10,2,13,24,blocked,Mon
19,direction_B,1,10,2,14,31,blocked,Mon
19,direction_B,1,10,2,15,24,blocked,Mon
19,direction_B,1,10,2,16,24,blocked,Mon
19,direction_B,0,10,2,17,24,reference,Mon
19,direction_B,0,10,2,18,27,reference,Mon
19,direction_B,1,10,2,19,18,blocked,Mon
19,direction_B,0,10,2,20,18,reference,Mon
19,direction_B,0,10,2,21,13,reference,Mon
19,direction_B,1,10,2,22,14,blocked,Mon
19,direction_B,0,10,2,23,11,reference,Mon
19,direction_B,0,10,2,24,10,reference,Mon
19,direction_B,0,10,2,25,5,reference,Mon
22,direction_A,1,10,2,5,6,blocked,Mon
22,direction_A,1,10,2,6,15,blocked,Mon
22,direction_A,1,10,2,8,12,blocked,Mon
22,direction_A,0,10,2,9,9,reference,Mon
22,direction_A,0,10,2,10,9,reference,Mon
22,direction_A,0,10,2,11,9,reference,Mon
22,direction_A,0,10,2,12,15,reference,Mon
22,direction_A,1,10,2,13,16,blocked,Mon
22,direction_A,1,10,2,14,12,blocked,Mon
22,direction_A,0,10,2,15,11,reference,Mon
22,direction_A,0,10,2,16,13,reference,Mon
22,direction_A,1,10,2,17,12,blocked,Mon
22,direction_A,0,10,2,18,11,reference,Mon
22,direction_A,0,10,2,19,10,reference,Mon
22,direction_A,1,10,2,20,8,blocked,Mon
22,direction_A,1,10,2,21,8,blocked,Mon
22,direction_A,1,10,2,22,7,blocked,Mon
22,direction_A,0,10,2,23,7,reference,Mon
22,direction_B,0,10,2,6,15,reference,Mon
22,direction_B,0,10,2,7,13,reference,Mon
22,direction_B,0,10,2,8,15,reference,Mon
22,direction_B,0,10,2,9,12,reference,Mon
22,direction_B,0,10,2,10,12,reference,Mon
22,direction_B,0,10,2,11,10,reference,Mon
22,direction_B,0,10,2,12,12,reference,Mon
22,direction_B,0,10,2,13,11,reference,Mon
22,direction_B,0,10,2,14,12,reference,Mon
22,direction_B,2,10,2,16,12,non_corridor,Mon
22,direction_B,0,10,2,17,10,reference,Mon
22,direction_B,0,10,2,18,12,reference,Mon
22,direction_B,0,10,2,19,13,reference,Mon
22,direction_B,2,10,2,20,8,non_corridor,Mon
22,direction_B,0,10,2,21,7,reference,Mon
22,direction_B,0,10,2,22,10,reference,Mon
