month,day_of_week,scheduled_departure_time,category
1,7,19,Saturday
1,7,20,Saturday
1,7,21,Saturday
2,7,19,Saturday
2,7,20,Saturday
2,7,21,Saturday
3,3,20,Weekday
3,3,21,Weekday
3,3,22,Weekday
3,4,21,Weekday
3,7,20,Saturday
3,7,21,Saturday
3,7,22,Saturday
4,2,6,Weekday
4,2,7,Weekday
4,4,20,Weekday
4,4,21,Weekday
4,4,23,Weekday
4,5,5,Weekday
4,5,6,Weekday
4,5,7,Weekday
4,5,8,Weekday
4,5,9,Weekday
4,5,18,Weekday
4,5,20,Weekday
4,5,22,Weekday
4,7,22,Saturday
5,1,5,Weekday
5,1,6,Weekday
5,1,7,Weekday
5,1,8,Weekday
5,1,9,Weekday
5,1,10,Weekday
5,2,5,Weekday
5,2,7,Weekday
5,2,8,Weekday
5,2,9,Weekday
5,2,10,Weekday
5,2,11,Weekday
5,2,12,Weekday
5,2,13,Weekday
5,2,14,Weekday
5,2,15,Weekday
5,2,16,Weekday
5,2,17,Weekday
5,2,18,Weekday
5,2,19,Weekday
5,2,21,Weekday
5,2,22,Weekday
5,3,5,Weekday
5,3,6,Weekday
5,3,9,Weekday
5,3,10,Weekday
5,3,11,Weekday
5,3,12,Weekday
5,3,13,Weekday
5,3,14,Weekday
5,3,18,Weekday
5,3,19,Weekday
5,3,20,Weekday
5,3,21,Weekday
5,4,5,Weekday
5,7,21,Saturday
5,7,22,Saturday
5,7,23,Saturday
6,2,20,Weekday
6,2,22,Weekday
6,4,12,Weekday
6,5,19,Weekday
6,5,22,Weekday
6,7,21,Saturday
6,7,22,Saturday
7,1,19,Weekday
7,3,21,Weekday
7,5,18,Weekday
7,7,22,Saturday
7,7,23,Saturday
8,7,21,Saturday
8,7,22,Saturday
9,7,20,Saturday
9,7,22,Saturday
9,7,23,Saturday
10,1,5,Weekday
10,2,5,Weekday
10,2,6,Weekday
10,2,8,Weekday
10,2,13,Weekday
10,2,14,Weekday
10,2,17,Weekday
10,2,20,Weekday
10,2,21,Weekday
10,2,22,Weekday
10,7,20,Saturday
10,7,21,Saturday
10,7,22,Saturday
11,4,12,Weekday
11,4,13,Weekday
11,4,14,Weekday
11,4,15,Weekday
11,4,16,Weekday
11,4,17,Weekday
11,4,18,Weekday
11,4,19,Weekday
11,4,20,Weekday
11,4,21,Weekday
11,7,19,Saturday
11,7,20,Saturday
11,7,21,Saturday
11,7,22,Saturday
12,4,14,Weekday
12,4,15,Weekday
12,4,16,Weekday
12,4,17,Weekday
1,1,12,Weekday
1,1,16,Weekday
1,1,17,Weekday
1,1,20,Weekday
1,1,21,Weekday
1,1,23,Weekday
1,2,21,Weekday
1,3,12,Weekday
1,3,16,Weekday
1,3,21,Weekday
1,4,12,Weekday
5,2,20,Weekday
5,3,22,Weekday
6,3,19,Weekday
6,3,22,Weekday
6,5,23,Weekday
7,3,22,Weekday
9,7,21,Saturday
10,2,16,Weekday
10,7,23,Saturday
12,1,5,Weekday
12,1,6,Weekday
12,1,7,Weekday
12,1,8,Weekday
12,1,9,Weekday
12,1,10,Weekday
12,1,11,Weekday
12,1,12,Weekday
12,1,13,Weekday
12,1,14,Weekday
12,1,15,Weekday
12,1,16,Weekday
12,1,17,Weekday
12,1,18,Weekday
12,1,19,Weekday
12,1,20,Weekday
12,1,21,Weekday
12,1,22,Weekday
12,1,23,Weekday
12,2,5,Weekday
12,2,6,Weekday
12,2,7,Weekday
12,2,8,Weekday
12,2,9,Weekday
12,2,10,Weekday
12,2,11,Weekday
12,2,12,Weekday
12,2,13,Weekday
12,2,14,Weekday
12,2,15,Weekday
12,2,16,Weekday
12,2,17,Weekday
12,2,18,Weekday
12,2,19,Weekday
12,2,20,Weekday
12,2,21,Weekday
12,2,22,Weekday
12,2,23,Weekday
12,3,5,Weekday
12,3,6,Weekday
12,3,7,Weekday
12,3,8,Weekday
12,3,9,Weekday
12,3,10,Weekday
12,3,11,Weekday
12,3,12,Weekday
12,3,13,Weekday
12,3,14,Weekday
12,3,15,Weekday
12,3,16,Weekday
12,3,17,Weekday
12,3,18,Weekday
12,3,19,Weekday
12,3,20,Weekday
12,3,21,Weekday
12,3,22,Weekday
12,3,23,Weekday
12,4,5,Weekday
12,4,6,Weekday
12,4,7,Weekday
12,4,8,Weekday
