month,month_label,day_label,n_lines_elevated,lines_elevated,max_share_in_cell,min_n_among_elevated
11,Nov,Wed,5,"17:67%(n=21,base=0%), 9:55%(n=29,base=0%), 22:53%(n=19,base=0%), 19:51%(n=43,base=0%), 97:35%(n=37,base=0%)",0.6666666666666666,19
12,Dec,Wed,4,"22:21%(n=19,base=0%), 19:20%(n=41,base=0%), 17:19%(n=21,base=0%), 9:16%(n=32,base=0%)",0.21052631578947367,19
10,Oct,Mon,4,"17:55%(n=11,base=0%), 19:50%(n=42,base=0%), 22:50%(n=18,base=0%), 9:17%(n=23,base=0%)",0.5454545454545454,11
2,Feb,Sat,4,"9:80%(n=10,base=0%), 17:60%(n=10,base=0%), 19:60%(n=10,base=0%), 97:60%(n=10,base=0%)",0.8,10
1,Jan,Sat,4,"19:56%(n=9,base=0%), 9:50%(n=10,base=0%), 97:50%(n=12,base=0%), 17:45%(n=11,base=0%)",0.5555555555555556,9
4,Apr,Thu,3,"22:42%(n=19,base=0%), 17:38%(n=16,base=0%), 19:32%(n=38,base=0%)",0.42105263157894735,16
4,Apr,Wed,3,"19:29%(n=41,base=0%), 17:21%(n=14,base=0%), 22:19%(n=16,base=0%)",0.2926829268292683,14
5,May,Sun,3,"17:60%(n=10,base=0%), 19:43%(n=23,base=0%), 22:32%(n=19,base=0%)",0.6,10
5,May,Tue,3,"22:75%(n=16,base=0%), 19:64%(n=25,base=0%), 9:50%(n=10,base=0%)",0.75,10
3,Mar,Sat,3,"9:80%(n=10,base=0%), 97:80%(n=10,base=0%), 17:75%(n=8,base=0%)",0.8,8
