route_name,direction_group,route_variant_id,month,day_of_week,scheduled_departure_time,n_observations,variant_type_v2,day_label
9,direction_A,0,12,4,6,10,reference,Wed
9,direction_A,0,12,4,7,12,reference,Wed
9,direction_A,0,12,4,8,11,reference,Wed
9,direction_A,0,12,4,9,12,reference,Wed
9,direction_A,0,12,4,10,12,reference,Wed
9,direction_A,0,12,4,11,11,reference,Wed
9,direction_A,0,12,4,12,11,reference,Wed
9,direction_A,2,12,4,13,11,blocked,Wed
9,direction_A,2,12,4,14,11,blocked,Wed
9,direction_A,0,12,4,17,11,reference,Wed
9,direction_A,0,12,4,19,7,reference,Wed
9,direction_A,0,12,4,20,10,reference,Wed
9,direction_A,0,12,4,21,10,reference,Wed
9,direction_A,0,12,4,22,10,reference,Wed
9,direction_A,0,12,4,23,12,reference,Wed
9,direction_B,0,12,4,6,12,reference,Wed
9,direction_B,0,12,4,7,12,reference,Wed
9,direction_B,0,12,4,8,12,reference,Wed
9,direction_B,0,12,4,9,12,reference,Wed
9,direction_B,0,12,4,10,11,reference,Wed
9,direction_B,0,12,4,11,12,reference,Wed
9,direction_B,0,12,4,12,12,reference,Wed
9,direction_B,0,12,4,13,10,reference,Wed
9,direction_B,2,12,4,14,9,blocked,Wed
9,direction_B,2,12,4,15,11,blocked,Wed
9,direction_B,2,12,4,16,11,blocked,Wed
9,direction_B,0,12,4,18,11,reference,Wed
9,direction_B,0,12,4,19,12,reference,Wed
9,direction_B,0,12,4,20,9,reference,Wed
9,direction_B,0,12,4,21,12,reference,Wed
9,direction_B,0,12,4,22,11,reference,Wed
9,direction_B,0,12,4,23,12,reference,Wed
17,direction_A,0,12,4,6,12,reference,Wed
17,direction_A,0,12,4,9,8,reference,Wed
17,direction_A,0,12,4,10,8,reference,Wed
17,direction_A,0,12,4,11,8,reference,Wed
17,direction_A,0,12,4,12,12,reference,Wed
17,direction_A,2,12,4,13,7,blocked,Wed
17,direction_A,2,12,4,14,8,blocked,Wed
17,direction_A,0,12,4,20,8,reference,Wed
17,direction_A,0,12,4,23,8,reference,Wed
17,direction_B,0,12,4,5,4,reference,Wed
17,direction_B,0,12,4,6,12,reference,Wed
17,direction_B,0,12,4,7,12,reference,Wed
17,direction_B,0,12,4,9,8,reference,Wed
17,direction_B,0,12,4,10,8,reference,Wed
17,direction_B,0,12,4,11,8,reference,Wed
17,direction_B,0,12,4,12,8,reference,Wed
17,direction_B,1,12,4,13,8,blocked,Wed
17,direction_B,1,12,4,14,7,blocked,Wed
17,direction_B,0,12,4,19,8,reference,Wed
17,direction_B,0,12,4,21,8,reference,Wed
17,direction_B,0,12,4,24,4,reference,Wed
19,direction_A,0,12,4,5,8,reference,Wed
19,direction_A,0,12,4,6,28,reference,Wed
19,direction_A,0,12,4,7,20,reference,Wed
