route_name,direction_group,route_variant_id,month,day_of_week,scheduled_departure_time,n_observations,variant_type_v2,day_label
9,direction_A,0,11,4,6,12,reference,Wed
9,direction_A,0,11,4,7,11,reference,Wed
9,direction_A,0,11,4,8,12,reference,Wed
9,direction_A,0,11,4,9,12,reference,Wed
9,direction_A,6,11,4,10,12,blocked,Wed
9,direction_A,0,11,4,11,11,reference,Wed
9,direction_A,2,11,4,12,12,blocked,Wed
9,direction_A,2,11,4,13,12,blocked,Wed
9,direction_A,2,11,4,14,10,blocked,Wed
9,direction_A,2,11,4,17,10,blocked,Wed
9,direction_A,2,11,4,19,9,blocked,Wed
9,direction_A,16,11,4,20,9,blocked,Wed
9,direction_A,0,11,4,21,10,reference,Wed
9,direction_A,0,11,4,22,7,reference,Wed
9,direction_A,0,11,4,23,10,reference,Wed
9,direction_B,0,11,4,6,12,reference,Wed
9,direction_B,0,11,4,7,12,reference,Wed
9,direction_B,0,11,4,8,12,reference,Wed
9,direction_B,0,11,4,9,9,reference,Wed
9,direction_B,0,11,4,10,11,reference,Wed
9,direction_B,2,11,4,11,12,blocked,Wed
9,direction_B,2,11,4,12,11,blocked,Wed
9,direction_B,2,11,4,13,10,blocked,Wed
9,direction_B,2,11,4,14,9,blocked,Wed
9,direction_B,2,11,4,16,11,blocked,Wed
9,direction_B,2,11,4,19,12,blocked,Wed
9,direction_B,2,11,4,20,7,blocked,Wed
9,direction_B,2,11,4,22,8,blocked,Wed
9,direction_B,2,11,4,23,10,blocked,Wed
17,direction_A,0,11,4,6,12,reference,Wed
17,direction_A,0,11,4,9,7,reference,Wed
17,direction_A,2,11,4,10,8,blocked,Wed
17,direction_A,2,11,4,11,8,blocked,Wed
17,direction_A,2,11,4,12,12,blocked,Wed
17,direction_A,2,11,4,13,8,blocked,Wed
17,direction_A,2,11,4,14,8,blocked,Wed
17,direction_A,2,11,4,20,7,blocked,Wed
17,direction_A,0,11,4,23,8,reference,Wed
17,direction_B,0,11,4,5,4,reference,Wed
17,direction_B,0,11,4,6,12,reference,Wed
17,direction_B,0,11,4,7,12,reference,Wed
17,direction_B,1,11,4,9,8,blocked,Wed
17,direction_B,1,11,4,10,8,blocked,Wed
17,direction_B,5,11,4,11,8,blocked,Wed
17,direction_B,1,11,4,12,7,blocked,Wed
17,direction_B,1,11,4,13,8,blocked,Wed
17,direction_B,1,11,4,14,8,blocked,Wed
17,direction_B,1,11,4,19,8,blocked,Wed
17,direction_B,1,11,4,21,8,blocked,Wed
17,direction_B,0,11,4,24,4,reference,Wed
19,direction_A,0,11,4,5,8,reference,Wed
19,direction_A,0,11,4,6,28,reference,Wed
19,direction_A,0,11,4,7,20,reference,Wed
19,direction_A,0,11,4,8,16,reference,Wed
19,direction_A,0,11,4,9,15,reference,Wed
19,direction_A,11,11,4,9,8,blocked,Wed
19,direction_A,1,11,4,10,12,blocked,Wed
19,direction_A,0,11,4,11,11,reference,Wed
19,direction_A,1,11,4,12,12,blocked,Wed
19,direction_A,1,11,4,13,15,blocked,Wed
19,direction_A,1,11,4,14,12,blocked,Wed
19,direction_A,1,11,4,15,18,blocked,Wed
19,direction_A,1,11,4,16,20,blocked,Wed
19,direction_A,1,11,4,17,16,blocked,Wed
19,direction_A,1,11,4,18,16,blocked,Wed
19,direction_A,1,11,4,19,12,blocked,Wed
19,direction_A,0,11,4,20,10,reference,Wed
19,direction_A,1,11,4,21,12,blocked,Wed
19,direction_A,0,11,4,22,12,reference,Wed
19,direction_A,0,11,4,23,12,reference,Wed
19,direction_A,0,11,4,24,8,reference,Wed
19,direction_A,0,11,4,25,8,reference,Wed
19,direction_B,0,11,4,5,8,reference,Wed
19,direction_B,0,11,4,6,32,reference,Wed
19,direction_B,0,11,4,7,48,reference,Wed
19,direction_B,0,11,4,8,43,reference,Wed
19,direction_B,0,11,4,9,28,reference,Wed
19,direction_B,0,11,4,10,33,reference,Wed
19,direction_B,6,11,4,11,28,blocked,Wed
19,direction_B,1,11,4,12,24,blocked,Wed
19,direction_B,1,11,4,13,23,blocked,Wed
19,direction_B,1,11,4,14,32,blocked,Wed
19,direction_B,1,11,4,15,24,blocked,Wed
19,direction_B,1,11,4,16,22,blocked,Wed
19,direction_B,1,11,4,17,27,blocked,Wed
19,direction_B,1,11,4,18,36,blocked,Wed
19,direction_B,1,11,4,19,19,blocked,Wed
19,direction_B,1,11,4,20,20,blocked,Wed
19,direction_B,1,11,4,21,13,blocked,Wed
19,direction_B,0,11,4,22,15,reference,Wed
19,direction_B,0,11,4,23,12,reference,Wed
19,direction_B,0,11,4,24,8,reference,Wed
19,direction_B,0,11,4,25,4,reference,Wed
22,direction_A,0,11,4,5,7,reference,Wed
22,direction_A,0,11,4,6,20,reference,Wed
22,direction_A,0,11,4,7,12,reference,Wed
22,direction_A,0,11,4,8,10,reference,Wed
22,direction_A,0,11,4,9,12,reference,Wed
22,direction_A,0,11,4,10,11,reference,Wed
22,direction_A,0,11,4,11,11,reference,Wed
22,direction_A,1,11,4,12,16,blocked,Wed
22,direction_A,1,11,4,13,15,blocked,Wed
22,direction_A,1,11,4,14,12,blocked,Wed
22,direction_A,1,11,4,15,15,blocked,Wed
22,direction_A,1,11,4,16,15,blocked,Wed
22,direction_A,1,11,4,17,12,blocked,Wed
22,direction_A,1,11,4,18,15,blocked,Wed
22,direction_A,1,11,4,19,12,blocked,Wed
22,direction_A,1,11,4,20,8,blocked,Wed
22,direction_A,1,11,4,21,8,blocked,Wed
22,direction_A,0,11,4,22,7,reference,Wed
22,direction_A,0,11,4,23,8,reference,Wed
22,direction_B,0,11,4,5,4,reference,Wed
22,direction_B,0,11,4,6,20,reference,Wed
22,direction_B,0,11,4,7,16,reference,Wed
22,direction_B,0,11,4,8,16,reference,Wed
22,direction_B,0,11,4,9,15,reference,Wed
22,direction_B,0,11,4,10,15,reference,Wed
22,direction_B,0,11,4,11,11,reference,Wed
22,direction_B,0,11,4,12,12,reference,Wed
22,direction_B,0,11,4,13,12,reference,Wed
22,direction_B,5,11,4,14,12,non_corridor,Wed
22,direction_B,0,11,4,15,12,reference,Wed
22,direction_B,5,11,4,16,12,non_corridor,Wed
22,direction_B,2,11,4,18,15,non_corridor,Wed
22,direction_B,0,11,4,19,14,reference,Wed
22,direction_B,0,11,4,22,12,reference,Wed
22,direction_B,0,11,4,23,8,reference,Wed
97,direction_A,0,11,4,5,8,reference,Wed
97,direction_A,0,11,4,6,15,reference,Wed
97,direction_A,0,11,4,7,16,reference,Wed
97,direction_A,0,11,4,8,15,reference,Wed
97,direction_A,0,11,4,9,16,reference,Wed
97,direction_A,0,11,4,10,13,reference,Wed
97,direction_A,0,11,4,11,13,reference,Wed
97,direction_A,0,11,4,12,15,reference,Wed
97,direction_A,1,11,4,13,12,blocked,Wed
97,direction_A,1,11,4,14,11,blocked,Wed
97,direction_A,1,11,4,15,10,blocked,Wed
97,direction_A,1,11,4,16,13,blocked,Wed
97,direction_A,1,11,4,17,14,blocked,Wed
97,direction_A,1,11,4,18,12,blocked,Wed
97,direction_A,1,11,4,19,12,blocked,Wed
97,direction_A,0,11,4,20,13,reference,Wed
97,direction_A,0,11,4,21,12,reference,Wed
97,direction_A,0,11,4,22,15,reference,Wed
97,direction_A,0,11,4,23,12,reference,Wed
97,direction_A,0,11,4,24,4,reference,Wed
97,direction_B,0,11,4,5,7,reference,Wed
97,direction_B,0,11,4,6,15,reference,Wed
97,direction_B,0,11,4,7,15,reference,Wed
97,direction_B,0,11,4,8,15,reference,Wed
97,direction_B,0,11,4,9,15,reference,Wed
97,direction_B,22,11,4,10,16,blocked,Wed
97,direction_B,1,11,4,12,12,blocked,Wed
97,direction_B,9,11,4,13,10,blocked,Wed
97,direction_B,9,11,4,14,9,blocked,Wed
97,direction_B,1,11,4,15,12,blocked,Wed
97,direction_B,1,11,4,18,12,blocked,Wed
97,direction_B,0,11,4,19,11,reference,Wed
97,direction_B,0,11,4,20,10,reference,Wed
97,direction_B,0,11,4,21,13,reference,Wed
97,direction_B,0,11,4,22,14,reference,Wed
97,direction_B,0,11,4,23,11,reference,Wed
97,direction_B,0,11,4,24,4,reference,Wed
