month_label,day_label,line,direction,blocked_hour,blocked_n,nearest_reference_hour,reference_n,ratio
May,Mon,19,direction_B,18,34,24,6,5.67
May,Mon,19,direction_B,19,15,24,6,2.5
Jul,Sat,17,direction_B,21,8,24,4,2.0
Jul,Sat,97,direction_B,21,16,24,8,2.0
Jul,Sat,97,direction_B,22,16,24,8,2.0
Jul,Sat,17,direction_B,23,8,24,4,2.0
Jul,Sat,22,direction_A,23,8,24,4,2.0
Sep,Sat,97,direction_A,20,15,24,7,2.14
Sep,Sat,97,direction_A,21,15,24,7,2.14
Sep,Sat,97,direction_A,22,15,24,7,2.14
Nov,Wed,19,direction_A,16,20,20,10,2.0
Nov,Wed,19,direction_B,18,36,22,15,2.4
Nov,Wed,22,direction_A,18,15,22,7,2.14
Nov,Wed,17,direction_B,19,8,24,4,2.0
Nov,Wed,17,direction_B,21,8,24,4,2.0
Apr,Wed,19,direction_A,23,10,24,5,2.0
Apr,Wed,19,direction_B,23,12,24,5,2.4
