route_name,direction_group,route_variant_id,count,n_stops,ref_n_stops,n_missing,missing_fraction,missing_stop_names,heuristic_label,cluster_id,in_display_set
9,direction_A,7,2,61,67,7,0.104,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'רופין/דיסקין', 'חניון מלחה']",blocked,9_direction_A_cluster_1,False
9,direction_A,19,1,60,67,7,0.104,"[""רופין/שד' הזז"", 'רופין/קפלן', ""הג'וינט/דרך בלפור"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה', ""מוזיאון המדע/שד' המוזיאונים"", 'בורלא/אביגד', 'בורלא/דוידזון']",blocked,9_direction_A_cluster_2,False
9,direction_A,1,379,67,67,1,0.015,['חניון מלחה'],regular,,True
9,direction_A,2,22,64,67,3,0.045,"[""רד''ק"", ""עזה/רד''ק"", 'מטודלה']",regular,,True
9,direction_A,3,12,64,67,4,0.06,"[""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,True
9,direction_A,4,5,62,67,6,0.09,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,True
9,direction_A,5,5,65,67,3,0.045,"[""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,True
9,direction_A,6,2,66,67,1,0.015,"[""רד''ק""]",regular,,False
9,direction_A,8,2,65,67,3,0.045,"[""רד''ק"", ""עזה/רד''ק"", 'חניון מלחה']",regular,,False
9,direction_A,9,2,65,67,2,0.03,"[""רד''ק"", ""עזה/רד''ק""]",regular,,False
9,direction_A,10,1,66,67,2,0.03,"[""רד''ק"", 'חניון מלחה']",regular,,False
9,direction_A,11,1,64,67,4,0.06,"[""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'חניון מלחה']",regular,,False
9,direction_A,12,1,65,67,3,0.045,"[""אוסישקין/רמב''ן"", ""רד''ק"", 'חניון מלחה']",regular,,False
9,direction_A,13,1,66,67,1,0.015,['ביטוח לאומי'],regular,,False
9,direction_A,14,1,63,67,4,0.06,"['אוסישקין/נרקיס', ""רד''ק"", ""עזה/רד''ק"", 'מטודלה']",regular,,False
9,direction_A,15,1,66,67,1,0.015,"[""אוסישקין/רמב''ן""]",regular,,False
9,direction_A,16,1,63,67,4,0.06,"[""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'מטודלה']",regular,,False
9,direction_A,17,1,65,67,3,0.045,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'חניון מלחה']",regular,,False
9,direction_A,18,1,62,67,5,0.075,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", ""רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,False
9,direction_A,20,1,66,67,1,0.015,['מטודלה'],regular,,False
9,direction_A,21,1,63,67,5,0.075,"[""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,False
9,direction_B,2,43,56,63,7,0.111,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,9_direction_B_cluster_1,True
9,direction_B,4,11,56,63,9,0.143,"['חניון רכבת מלחה/דרך יצחק מודעי', 'בצלאל בזק/גרשון שקד', 'סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,9_direction_B_cluster_1,True
9,direction_B,1,260,63,63,2,0.032,"['חניון רכבת מלחה/דרך יצחק מודעי', 'בצלאל בזק/גרשון שקד']",regular,,True
9,direction_B,3,37,64,63,1,0.016,['חניון רכבת מלחה/דרך יצחק מודעי'],regular,,True
9,direction_B,5,1,61,63,2,0.032,"[""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,False
9,direction_B,6,1,60,63,3,0.048,"['מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",regular,,False
9,direction_B,7,1,60,63,5,0.079,"['חניון רכבת מלחה/דרך יצחק מודעי', 'בצלאל בזק/גרשון שקד', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור']",regular,,False
9,direction_B,8,1,58,63,5,0.079,"[""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,False
9,direction_B,9,1,62,63,1,0.016,['סעדיה גאון'],regular,,False
9,direction_B,10,1,62,63,1,0.016,['עזה/בלפור'],regular,,False
14,direction_A,7,1,34,40,6,0.15,"['בית משפט העליון/זוסמן', 'הכנסת/קפלן', 'מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה', 'מוזיאון ישראל/רופין']",blocked,14_direction_A_cluster_1,False
14,direction_A,8,1,36,40,4,0.1,"['מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה', 'מוזיאון ישראל/רופין']",blocked,14_direction_A_cluster_1,False
14,direction_A,1,1,39,40,1,0.025,['מחלקי המים'],regular,,False
14,direction_A,2,1,38,40,2,0.05,"['בית משפט העליון/זוסמן', ""מוזיאון המדע/שד' המוזיאונים""]",regular,,False
14,direction_A,3,1,39,40,1,0.025,['מוזיאון ישראל/וייז'],regular,,False
14,direction_A,4,1,38,40,2,0.05,"['מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים""]",regular,,False
14,direction_A,5,1,37,40,3,0.075,"['בית משפט העליון/זוסמן', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה']",regular,,False
14,direction_A,6,1,37,40,3,0.075,"['מוזיאון ישראל/וייז', ""מוזיאון המדע/שד' המוזיאונים"", 'קמפוס ספרא/מסוף הכניסה לאוניברסיטה']",regular,,False
