record_id,month,route_id,day_of_week,scheduled_departure_time,stop_sequence,stop_code,n_observations,mean_cumulative_travel_time_min,std_cumulative_travel_time_min,mean_cumulative_distance_m,std_cumulative_distance_m,route_name,route_variant_id
27388,1,5499,1,5,1,3324,8,0.42,0.1,0,0.057308756,22,0
27389,1,5499,1,5,2,6268,8,0.62,0.09,350,0.057308756,22,0
27390,1,5499,1,5,3,9907,8,3.6,0.61,1440,0.057308756,22,0
27391,1,5499,1,5,4,9908,8,4.41,0.71,1684,0.057308756,22,0
27392,1,5499,1,5,5,3097,8,4.87,0.66,1852,0.057308756,22,0
27393,1,5499,1,5,6,2181,8,6.51,0.52,2222,0.057308756,22,0
27394,1,5499,1,5,7,9981,8,6.88,0.54,2343,0.057308756,22,0
70197481,1,5499,1,5,8,1629,8,6.46,0.73,2520,0.057308756,22,0
70197482,1,5499,1,5,9,5895,8,6.85,0.69,2754,0.057308756,22,0
70197483,1,5499,1,5,10,1014,8,8.06,0.83,3095,0.057308756,22,0
70197484,1,5499,1,5,11,2590,8,8.76,0.8,3330,0.057308756,22,0
70197485,1,5499,1,5,12,1655,8,9.42,0.69,3575,0.057308756,22,0
70197486,1,5499,1,5,13,2753,8,10.05,0.66,3796,0.057308756,22,0
70197487,1,5499,1,5,14,4044,8,10.57,0.64,4064,0.057308756,22,0
70197488,1,5499,1,5,15,1630,8,10.92,0.72,4224,0.057308756,22,0
70197489,1,5499,1,5,16,2591,8,11.16,0.77,4347,0.057308756,22,0
70197490,1,5499,1,5,17,4050,8,12.15,1.04,4574,0.057308756,22,0
70197491,1,5499,1,5,18,1039,8,12.59,1.06,4898,0.057308756,22,0
70197492,1,5499,1,5,19,1054,8,12.85,1.09,5059,0.057308756,22,0
70197493,1,5499,1,5,20,1575,8,13.29,1.13,5269,0.057308756,22,0
70197494,1,5499,1,5,21,1484,8,14.19,1.22,5720,0.057308756,22,0
70197495,1,5499,1,5,22,1079,8,14.65,1.19,5908,0.057308756,22,0
70197496,1,5499,1,5,23,3857,8,16.08,1.26,6309,0.057308756,22,0
70197497,1,5499,1,5,24,3605,8,17.4,1.27,6752,0.057308756,22,0
70197498,1,5499,1,5,25,4173,8,18.6,1.32,7022,0.057308756,22,0
70197499,1,5499,1,5,26,3818,8,20.37,1.38,7390,0.057308756,22,0
70197500,1,5499,1,5,27,3858,8,20.84,1.37,7545,0.057308756,22,0
70197501,1,5499,1,5,28,4037,8,21.87,1.34,7859,0.057308756,22,0
70197502,1,5499,1,5,29,1171,8,23.11,1.4,8136,0.057308756,22,0
70197503,1,5499,1,5,30,903,8,24.5,1.48,8610,0.057308756,22,0
70197504,1,5499,1,5,31,3678,8,25.45,1.67,8829,0.057308756,22,0
70197505,1,5499,1,5,32,1352,8,26.64,1.73,9079,0.057308756,22,0
70197506,1,5499,1,5,33,1731,8,27.1,1.69,9305,0.057308756,22,0
70197507,1,5499,1,5,34,1927,8,27.75,1.72,9832,0.057308756,22,0
27422,1,5499,1,5,35,3637,8,31.74,1.66,10147,0.057308756,22,0
27423,1,5499,1,5,36,2804,8,35.97,1.89,12958,0.057308756,22,0
27424,1,5499,1,5,37,2802,8,36.46,1.81,13051,0.057308756,22,0
27425,1,5499,1,5,38,2882,8,37.79,1.93,13595,0.057308756,22,0
27426,1,5499,1,5,39,2806,8,38.23,1.98,13789,0.057308756,22,0
27427,1,5499,1,5,40,5854,8,39.82,2.39,14167,0.057308756,22,0
27428,1,5499,1,5,41,2569,8,40.24,2.37,14373,0.057308756,22,0
27429,1,5499,1,5,42,2573,8,41.39,2.53,14573,0.057308756,22,0
27430,1,5499,1,5,43,2620,8,42.15,2.54,14886,0.057308756,22,0
27431,1,5499,1,5,44,2624,8,44.85,2.37,15301,0.057308756,22,0
27432,1,5499,1,5,45,2707,8,45.3,2.39,15509,0.057308756,22,0
27433,1,5499,1,5,46,2708,8,45.89,2.43,15786,0.057308756,22,0
27434,1,5499,1,5,47,2710,8,46.41,2.59,16020,0.057308756,22,0
27435,1,5499,1,5,48,2825,8,46.91,2.67,16175,0.057308756,22,0
27436,1,5499,1,5,49,6215,8,47.32,2.76,16346,0.057308756,22,0
27437,1,5499,1,5,50,2826,8,47.65,2.78,16525,0.057308756,22,0
27438,1,5499,1,5,51,3849,8,48.49,3.0,16792,0.057308756,22,0
27439,1,5499,1,5,52,2855,8,49.17,3.07,17005,0.057308756,22,0
27440,1,5499,1,5,53,2856,8,49.99,3.13,17393,0.057308756,22,0
27441,1,5499,1,5,54,6214,8,50.61,3.2,17692,0.057308756,22,0
27442,1,5499,1,5,55,1487,8,59.67,9.74,18201,0.057308756,22,0
308192,1,5499,1,6,1,3324,20,0.62,0.59,0,0.057308756,22,0
308193,1,5499,1,6,2,6268,20,0.81,0.58,350,0.057308756,22,0
308194,1,5499,1,6,3,9907,20,4.09,1.24,1440,0.057308756,22,0
308195,1,5499,1,6,4,9908,20,4.97,1.3,1629,0.057308756,22,0
308196,1,5499,1,6,5,3097,20,5.52,1.38,1797,0.057308756,22,0
308197,1,5499,1,6,6,2181,20,7.53,1.66,2167,0.057308756,22,0
308198,1,5499,1,6,7,9981,20,7.87,1.7,2288,0.057308756,22,0
308199,1,5499,1,6,8,1629,20,8.53,1.79,2465,0.057308756,22,0
308200,1,5499,1,6,9,5895,20,9.28,2.05,2699,0.057308756,22,0
308201,1,5499,1,6,10,1014,20,10.28,2.01,3040,0.057308756,22,0
308202,1,5499,1,6,11,2590,20,11.06,2.09,3275,0.057308756,22,0
308203,1,5499,1,6,12,1655,20,11.77,2.18,3520,0.057308756,22,0
308204,1,5499,1,6,13,2753,20,12.42,2.26,3741,0.057308756,22,0
308205,1,5499,1,6,14,4044,20,13.03,2.34,4009,0.057308756,22,0
308206,1,5499,1,6,15,1630,20,13.58,2.44,4231,0.057308756,22,0
308207,1,5499,1,6,16,2591,20,13.95,2.46,4354,0.057308756,22,0
308208,1,5499,1,6,17,4050,20,15.05,2.8,4581,0.057308756,22,0
308209,1,5499,1,6,18,1039,20,15.64,2.8,4905,0.057308756,22,0
308210,1,5499,1,6,19,1054,20,16.01,2.9,5066,0.057308756,22,0
308211,1,5499,1,6,20,1575,20,16.7,2.93,5276,0.057308756,22,0
308212,1,5499,1,6,21,1484,20,18.1,2.82,5727,0.057308756,22,0
308213,1,5499,1,6,22,1079,20,18.94,3.08,5915,0.057308756,22,0
308214,1,5499,1,6,23,3857,20,20.19,3.19,6316,0.057308756,22,0
308215,1,5499,1,6,24,3605,20,21.66,3.13,6759,0.057308756,22,0
308216,1,5499,1,6,25,4173,20,22.93,3.24,7029,0.057308756,22,0
308217,1,5499,1,6,26,3818,20,25.0,3.42,7397,0.057308756,22,0
308218,1,5499,1,6,27,3858,20,25.42,3.48,7552,0.057308756,22,0
308219,1,5499,1,6,28,4037,20,26.71,3.7,7866,0.057308756,22,0
308220,1,5499,1,6,29,1171,20,27.77,3.89,8143,0.057308756,22,0
308221,1,5499,1,6,30,903,20,29.6,3.96,8617,0.057308756,22,0
308222,1,5499,1,6,31,3678,20,30.97,4.12,8836,0.057308756,22,0
308223,1,5499,1,6,32,1352,20,32.41,4.2,9086,0.057308756,22,0
308224,1,5499,1,6,33,1731,20,32.81,4.18,9312,0.057308756,22,0
308225,1,5499,1,6,34,1927,20,33.92,4.17,9839,0.057308756,22,0
308226,1,5499,1,6,35,3637,20,34.94,4.39,10092,0.057308756,22,0
308227,1,5499,1,6,36,2804,20,38.8,4.33,12903,0.057308756,22,0
308228,1,5499,1,6,37,2802,20,39.27,4.4,12996,0.057308756,22,0
308229,1,5499,1,6,38,2882,20,40.99,4.47,13540,0.057308756,22,0
308230,1,5499,1,6,39,2806,20,41.7,4.4,13734,0.057308756,22,0
308231,1,5499,1,6,40,5854,20,43.83,4.74,14112,0.057308756,22,0
308232,1,5499,1,6,41,2569,20,44.52,4.83,14318,0.057308756,22,0
308233,1,5499,1,6,42,2573,20,45.53,4.94,14518,0.057308756,22,0
308234,1,5499,1,6,43,2620,20,46.5,5.13,14831,0.057308756,22,0
308235,1,5499,1,6,44,2624,20,49.76,5.43,15246,0.057308756,22,0
308236,1,5499,1,6,45,2707,20,50.43,5.56,15454,0.057308756,22,0
308237,1,5499,1,6,46,2708,20,51.18,5.67,15731,0.057308756,22,0
308238,1,5499,1,6,47,2710,20,51.77,5.81,15965,0.057308756,22,0
308239,1,5499,1,6,48,2825,20,52.35,5.91,16120,0.057308756,22,0
308240,1,5499,1,6,49,6215,20,52.86,6.05,16291,0.057308756,22,0
308241,1,5499,1,6,50,2826,20,53.24,6.15,16470,0.057308756,22,0
308242,1,5499,1,6,51,3849,20,54.53,6.43,16737,0.057308756,22,0
308243,1,5499,1,6,52,2855,20,55.49,6.54,16950,0.057308756,22,0
308244,1,5499,1,6,53,2856,20,56.34,6.66,17338,0.057308756,22,0
308245,1,5499,1,6,54,6214,20,57.06,6.79,17637,0.057308756,22,0
308246,1,5499,1,6,55,1487,20,59.69,6.57,18146,0.057308756,22,0
677639,1,5499,1,7,1,3324,11,0.6,0.24,0,0.057308756,22,0
677640,1,5499,1,7,2,6268,11,0.79,0.25,350,0.057308756,22,0
677641,1,5499,1,7,3,9907,11,4.55,1.13,1440,0.057308756,22,0
677642,1,5499,1,7,4,9908,11,5.47,1.19,1684,0.057308756,22,0
677643,1,5499,1,7,5,3097,11,6.11,1.23,1852,0.057308756,22,0
677644,1,5499,1,7,6,2181,11,8.19,1.35,2222,0.057308756,22,0
677645,1,5499,1,7,7,9981,11,9.48,1.52,2343,0.057308756,22,0
677646,1,5499,1,7,8,1629,11,11.05,1.94,2520,0.057308756,22,0
677647,1,5499,1,7,9,5895,11,12.16,2.48,2754,0.057308756,22,0
677648,1,5499,1,7,10,1014,11,13.49,2.72,3095,0.057308756,22,0
677649,1,5499,1,7,11,2590,11,14.43,2.68,3330,0.057308756,22,0
677650,1,5499,1,7,12,1655,11,15.76,2.82,3304,0.057308756,22,0
677651,1,5499,1,7,13,2753,11,16.32,2.74,3796,0.057308756,22,0
677652,1,5499,1,7,14,4044,11,17.55,3.05,3773,0.057308756,22,0
677653,1,5499,1,7,15,1630,11,18.24,3.01,3995,0.057308756,22,0
677654,1,5499,1,7,16,2591,11,19.07,3.3,4118,0.057308756,22,0
677655,1,5499,1,7,17,4050,11,22.3,3.71,4315,0.057308756,22,0
677656,1,5499,1,7,18,1039,11,22.86,4.38,4648,0.057308756,22,0
677657,1,5499,1,7,19,1054,11,23.01,4.41,5098,0.057308756,22,0
677658,1,5499,1,7,20,1575,11,25.11,4.42,5331,0.057308756,22,0
677659,1,5499,1,7,21,1484,11,28.58,6.78,5417,0.057308756,22,0
677660,1,5499,1,7,22,1079,11,30.19,7.11,5605,0.057308756,22,0
677661,1,5499,1,7,23,3857,11,31.21,7.03,6006,0.057308756,22,0
677662,1,5499,1,7,24,3605,11,32.93,7.11,6449,0.057308756,22,0
70988689,1,5499,1,7,25,4173,12,39.5,8.94,7084,0.057308756,22,0
70988690,1,5499,1,7,26,3818,12,42.21,9.17,7452,0.057308756,22,0
70988691,1,5499,1,7,27,3858,12,43.01,9.28,7607,0.057308756,22,0
70988692,1,5499,1,7,28,4037,12,44.61,9.39,7921,0.057308756,22,0
70988693,1,5499,1,7,29,1171,12,46.38,9.64,8198,0.057308756,22,0
677668,1,5499,1,7,30,903,11,45.02,7.19,8314,0.057308756,22,0
677669,1,5499,1,7,31,3678,11,45.24,8.1,8483,0.057308756,22,0
677670,1,5499,1,7,32,1352,11,46.98,8.09,8733,0.057308756,22,0
677671,1,5499,1,7,33,1731,11,47.43,8.1,8959,0.057308756,22,0
677672,1,5499,1,7,34,1927,11,48.89,8.14,9486,0.057308756,22,0
677673,1,5499,1,7,35,3637,11,50.18,8.43,9739,0.057308756,22,0
677674,1,5499,1,7,36,2804,11,53.88,8.54,12550,0.057308756,22,0
677675,1,5499,1,7,37,2802,11,54.48,8.47,12643,0.057308756,22,0
677676,1,5499,1,7,38,2882,11,56.77,8.49,13187,0.057308756,22,0
677677,1,5499,1,7,39,2806,11,57.56,8.31,13381,0.057308756,22,0
677678,1,5499,1,7,40,5854,11,60.45,8.39,13759,0.057308756,22,0
677679,1,5499,1,7,41,2569,11,61.46,8.32,13965,0.057308756,22,0
677680,1,5499,1,7,42,2573,11,62.57,8.29,14165,0.057308756,22,0
677681,1,5499,1,7,43,2620,11,63.66,8.2,14478,0.057308756,22,0
677682,1,5499,1,7,44,2624,11,68.22,8.06,14943,0.057308756,22,0
677683,1,5499,1,7,45,2707,11,67.68,8.54,15063,0.057308756,22,0
677684,1,5499,1,7,46,2708,11,68.48,8.54,15340,0.057308756,22,0
677685,1,5499,1,7,47,2710,11,69.18,8.55,15574,0.057308756,22,0
677686,1,5499,1,7,48,2825,11,69.66,8.58,15729,0.057308756,22,0
677687,1,5499,1,7,49,6215,11,70.17,8.61,15900,0.057308756,22,0
677688,1,5499,1,7,50,2826,11,70.74,8.63,16079,0.057308756,22,0
677689,1,5499,1,7,51,3849,11,72.29,8.4,16346,0.057308756,22,0
677690,1,5499,1,7,52,2855,11,73.18,8.45,16559,0.057308756,22,0
677691,1,5499,1,7,53,2856,11,74.04,8.46,16947,0.057308756,22,0
677692,1,5499,1,7,54,6214,11,74.9,8.27,17246,0.057308756,22,0
677693,1,5499,1,7,55,1487,11,77.03,8.08,17755,0.057308756,22,0
1068667,1,5499,1,8,1,3324,12,0.68,0.06,0,0.057308756,22,0
1068668,1,5499,1,8,2,6268,12,0.89,0.1,350,0.057308756,22,0
1068669,1,5499,1,8,3,9907,12,4.71,1.2,1440,0.057308756,22,0
1068670,1,5499,1,8,4,9908,12,5.64,1.24,1684,0.057308756,22,0
1068671,1,5499,1,8,5,3097,12,6.3,1.32,1852,0.057308756,22,0
1068672,1,5499,1,8,6,2181,12,9.54,1.89,2222,0.057308756,22,0
1068673,1,5499,1,8,7,9981,12,10.66,1.74,2343,0.057308756,22,0
