stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
8781,255,משרד המשפטים/צלאח א דין,רחוב: סלאח א דין 36 עיר: ירושלים רציף:  קומה: ,31.787402,35.229997
8783,257,דרך שכם/לואי ונסן,רחוב: דרך שכם 55 עיר: ירושלים רציף:  קומה: ,31.789365,35.229001
8787,264,דרך שכם/טובלר,רחוב: דרך שכם 45 עיר: ירושלים רציף:  קומה: ,31.792304,35.229086
8870,427,קציר/קלרמון גנו,רחוב: אהרון קציר עיר: ירושלים רציף:  קומה: ,31.795666,35.234983
9046,645,ויצמן/גבעת שאול,רחוב: שדרות וייצמן עיר: ירושלים רציף:  קומה: ,31.790348,35.197526
9281,903,ארץ חפץ/שמעון הצדיק,רחוב: ארץ חפץ 13 עיר: ירושלים רציף:  קומה: ,31.794884,35.22372
9301,938,מרכז פיליפ ליאון/סולד,רחוב: הנרייטה סולד 7 עיר: ירושלים רציף:  קומה: ,31.760631,35.170154
9305,942,פארק פישמן/גולומב,רחוב: גולומב 23 עיר: ירושלים רציף:  קומה: ,31.759924,35.178872
9312,949,הרצוג/ניות,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.766091,35.204282
9334,972,הכפר השוודי/סולד,רחוב: הנרייטה סולד 17 עיר: ירושלים רציף:  קומה: ,31.759652,35.167085
9373,1013,בן זכאי/בן בבא,רחוב: רבן יוחנן בן זכאי 35 עיר: ירושלים רציף:  קומה: ,31.757724,35.20676
9374,1014,בני בתירא/בן זכאי,רחוב: בני בתירא 4 עיר: ירושלים רציף:  קומה: ,31.756565,35.204087
9375,1015,בן זכאי/בן בבא,רחוב: רבן יוחנן בן זכאי 58 עיר: ירושלים רציף:  קומה: ,31.75699,35.205754
9376,1016,בני בתירא/בן זכאי,רחוב: בני בתירא 7 עיר: ירושלים רציף:  קומה: ,31.75658,35.203887
9377,1017,בן זכאי/דוסתאי,רחוב: רבן יוחנן בן זכאי 27 עיר: ירושלים רציף:  קומה: ,31.758875,35.20864
9381,1021,בן זכאי/בן גמלא,רחוב: רבן יוחנן בן זכאי 15 עיר: ירושלים רציף:  קומה: ,31.759151,35.211104
9382,1022,בן זכאי/פייר קניג,רחוב: רבן יוחנן בן זכאי 3 עיר: ירושלים רציף:  קומה: ,31.758975,35.214613
9384,1024,בן זכאי/פייר קניג,רחוב: רבן יוחנן בן זכאי 4 עיר: ירושלים רציף:  קומה: ,31.759129,35.213552
9385,1025,בן זכאי/בן גמלא,רחוב: רבן יוחנן בן זכאי 24 עיר: ירושלים רציף:  קומה: ,31.759293,35.210953
9388,1028,פייר קניג/חלץ,רחוב: גנרל פייר קניג 11 עיר: ירושלים רציף:  קומה: ,31.756866,35.214837
9395,1039,טשרניחובסקי/הרצוג,רחוב: טשרניחובסקי 3 עיר: ירושלים רציף:  קומה: ,31.768817,35.208391
9408,1053,טשרניחובסקי/פיכמן,רחוב: טשרניחובסקי 40 עיר: ירושלים רציף:  קומה: ,31.765811,35.20603
9409,1054,הרצוג/טשרניחובסקי,רחוב: הרב הרצוג 21 עיר: ירושלים רציף:  קומה: ,31.769609,35.209732
9425,1079,עזה/בלפור,רחוב: שדרות בן מיימון 10 עיר: ירושלים רציף:  קומה: ,31.773964,35.216872
9426,1080,רמב''ן/אבן עזרא,רחוב: רמב''ן 24 עיר: ירושלים רציף:  קומה: ,31.774608,35.214336
9434,1171,יחזקאל/רבנו גרשום,רחוב: יחזקאל 34 עיר: ירושלים רציף:  קומה: ,31.792065,35.220651
9456,1255,קניון הדר/פייר קניג,רחוב: גנרל פייר קניג 31 עיר: ירושלים רציף:  קומה: ,31.754216,35.214349
9457,1258,פייר קניג/חלץ,רחוב: גנרל פייר קניג 16 עיר: ירושלים רציף:  קומה: ,31.756199,35.21459
9485,1352,שד' אשכול/משמר הגבול,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.797691,35.222887
9503,1435,שד' צ'רצ'יל/קציר,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.797859,35.238757
9504,1444,הדסה הר הצופים/שד' צ'רצ'יל,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.796935,35.240619
9505,1445,האוניברסיטה העברית/שד' צ'רצ'יל,רחוב: שדרות צ'רצ'יל עיר: ירושלים רציף:  קומה: ,31.795702,35.241936
9523,1484,עזה/רד''ק,רחוב: דרך עזה 13 עיר: ירושלים רציף:  קומה: ,31.773178,35.215131
9526,1487,מסוף 700/שד' נווה יעקב,רחוב: שדרות נווה יעקב 7 עיר: ירושלים רציף:  קומה: ,31.837748,35.231598
9538,1511,טהון/גולומב,רחוב: יעקב טהון עיר: ירושלים רציף:  קומה: ,31.761447,35.175929
9546,1525,צומת פת/הרב הרצוג,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.758025,35.198555
9547,1526,הרב הרצוג/שח''ל,רחוב: הרב הרצוג עיר: ירושלים רציף:  קומה: ,31.762081,35.200164
9555,1544,קק''ל/אוסישקין,רחוב: הקרן הקיימת לישראל 33 עיר: ירושלים רציף:  קומה: ,31.776875,35.212779
9557,1546,אוסישקין/נרקיס,רחוב: מנחם אוסישקין 48 עיר: ירושלים רציף:  קומה: ,31.779297,35.212342
9559,1555,אוסישקין/בצלאל,רחוב: מנחם אוסישקין 63 עיר: ירושלים רציף:  קומה: ,31.781115,35.21203
9562,1575,עזה/הרב ברלין,רחוב: דרך עזה 57 עיר: ירושלים רציף:  קומה: ,31.770264,35.211823
9564,1586,גולומב/סן מרטין,רחוב: גולומב עיר: ירושלים רציף:  קומה: ,31.756636,35.195429
9584,1620,בן זכאי/דוסתאי,רחוב: רבן יוחנן בן זכאי 48 עיר: ירושלים רציף:  קומה: ,31.758461,35.207363
9593,1629,יהודה הנשיא/בן יאיר,רחוב: יהודה הנשיא 14 עיר: ירושלים רציף:  קומה: ,31.755975,35.200883
9594,1630,טשרניחובסקי א',רחוב: טשרניחובסקי 45 עיר: ירושלים רציף:  קומה: ,31.764568,35.204992
9599,1655,ש''י עגנון/קצנלסון,רחוב: שדרות ש''י עגנון 15 עיר: ירושלים רציף:  קומה: ,31.761041,35.204833
9623,1731,שדרות לוי אשכול/קרל נטר,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.799515,35.225737
9633,1754,קניון הדר/פייר קניג,רחוב: גנרל פייר קניג 30 עיר: ירושלים רציף:  קומה: ,31.752325,35.213858
9683,1856,צומת אורנים/פייר קניג,רחוב: גנרל פייר קניג עיר: ירושלים רציף:  קומה: ,31.758565,35.215224
9684,1858,צומת אורנים/פייר קניג,רחוב: גנרל פייר קניג עיר: ירושלים רציף:  קומה: ,31.7587,35.215145
9693,1905,חוות הנוער הציוני\ש''י עגנון,רחוב: שדרות ש''י עגנון 22 עיר: ירושלים רציף:  קומה: ,31.758965,35.20513
9700,1927,שד' אשכול/בר לב,רחוב: שדרות לוי אשכול עיר: ירושלים רציף:  קומה: ,31.799996,35.231163
9730,2024,בצלאל/טרומפלדור,רחוב: בן יהודה עיר: ירושלים רציף:  קומה: ,31.780632,35.213815
9740,2040,גולומב/בוליביה,רחוב: גולומב עיר: ירושלים רציף:  קומה: ,31.757533,35.181578
9809,2181,פת/יהודה הנשיא,רחוב: יעקב פת עיר: ירושלים רציף:  קומה: ,31.755318,35.199146
