record_id,month,route_id,day_of_week,scheduled_departure_time,stop_sequence,stop_code,n_observations,mean_cumulative_travel_time_sec,std_cumulative_travel_time_sec,mean_cumulative_distance_m,std_cumulative_distance_m,route_name
55233619,10,10802,5,23,26,4173,10,31.12,5.09,10802,0.0706241,19
73219680,1,10802,4,11,25,3605,10,38.25,4.63,10802,0.0706241,19
38013651,7,10802,2,13,25,3605,19,42.44,4.83,10802,0.0706241,19
74156260,1,10802,5,12,26,4173,10,40.52,5.84,10802,0.0706241,19
16546149,3,10802,2,15,5,938,15,11.2,2.14,3219,0.057308756,19
16546150,3,10802,2,15,6,2754,15,12.21,2.16,3525,0.057308756,19
16546146,3,10802,2,15,2,2323,15,3.03,2.22,457,0.057308756,19
16546153,3,10802,2,15,9,2040,15,16.41,2.24,4614,0.057308756,19
16546148,3,10802,2,15,4,972,15,9.99,2.17,2901,0.057308756,19
16546154,3,10802,2,15,10,4256,15,18.78,2.49,4908,0.057308756,19
16546155,3,10802,2,15,11,2391,15,19.58,2.48,5196,0.057308756,19
16546156,3,10802,2,15,12,1586,15,24.25,2.91,6122,0.057308756,19
16546157,3,10802,2,15,13,1525,15,27.55,3.1,6463,0.057308756,19
16546158,3,10802,2,15,14,1526,15,28.57,3.12,6985,0.057308756,19
16546161,3,10802,2,15,17,1575,15,32.99,2.87,8525,0.057308756,19
16546152,3,10802,2,15,8,942,15,15.31,2.26,4246,0.057308756,19
16546177,3,10802,2,15,33,2424,15,84.74,21.7,13829,0.057308756,19
16546162,3,10802,2,15,18,1484,15,37.16,3.65,8976,0.057308756,19
16546163,3,10802,2,15,19,1079,15,39.36,3.79,9164,0.057308756,19
16546164,3,10802,2,15,20,1080,15,42.27,4.13,9618,0.057308756,19
16546165,3,10802,2,15,21,1544,15,43.72,4.38,9950,0.057308756,19
16546166,3,10802,2,15,22,1546,15,45.97,4.61,10237,0.057308756,19
16546167,3,10802,2,15,23,1555,15,47.63,4.73,10441,0.057308756,19
16546168,3,10802,2,15,24,2024,15,50.66,4.86,10654,0.057308756,19
16546169,3,10802,2,15,25,3605,15,52.85,5.11,10906,0.057308756,19
