_id,month,route_id,DayOfWeek,HourSourceTime,StopSequence_Rishui,StopCode,count_common,timeCumSum_mean,timeCumSum_std,distCumSum_mean,distCumSum_std
16517237,3,37936,1,15,2,3301,39,1.26,0.8,291,0.057308756
16517238,3,37936,1,15,3,5987,39,3.2,1.01,707,0.057308756
16517239,3,37936,1,15,4,5988,39,4.2,1.28,903,0.057308756
16517240,3,37936,1,15,5,9921,39,6.74,1.65,1173,0.057308756
16517241,3,37936,1,15,6,2540,39,8.29,1.89,1395,0.057308756
16517242,3,37936,1,15,7,1255,39,10.07,2.69,1578,0.057308756
16517243,3,37936,1,15,8,1028,39,12.59,3.17,1875,0.057308756
16517244,3,37936,1,15,9,1856,39,13.42,2.92,2070,0.057308756
16517245,3,37936,1,15,10,1024,39,15.49,3.41,2340,0.057308756
16517246,3,37936,1,15,11,1025,39,17.18,3.62,2590,0.057308756
16517247,3,37936,1,15,12,1620,39,18.36,3.67,2955,0.057308756
16517248,3,37936,1,15,13,1015,39,19.26,3.72,3177,0.057308756
16517249,3,37936,1,15,14,1014,39,20.14,3.76,3441,0.057308756
16517250,3,37936,1,15,15,2590,39,22.21,3.99,3766,0.057308756
16517251,3,37936,1,15,16,1655,39,23.31,4.08,4011,0.057308756
16517252,3,37936,1,15,17,2591,39,26.49,4.58,4636,0.057308756
16517253,3,37936,1,15,18,4050,39,27.44,4.82,4818,0.057308756
16517254,3,37936,1,15,19,1039,39,28.35,4.9,5126,0.057308756
16517255,3,37936,1,15,20,2258,39,29.82,5.17,5334,0.057308756
16517256,3,37936,1,15,21,6269,39,31.94,5.3,6149,0.057308756
16517257,3,37936,1,15,22,6299,39,33.11,5.41,6656,0.057308756
16517258,3,37936,1,15,23,1963,39,35.47,6.13,7058,0.057308756
16517259,3,37936,1,15,24,5200,39,37.15,6.79,7512,0.057308756
16517260,3,37936,1,15,25,6229,39,43.51,11.91,8070,0.057308756
16517261,3,37936,1,15,26,4216,39,47.13,12.77,8622,0.057308756
16517262,3,37936,1,15,27,463,39,51.58,14.85,9057,0.057308756
16517263,3,37936,1,15,28,623,39,55.49,16.65,9471,0.057308756
16517264,3,37936,1,15,29,6300,39,58.65,17.93,9946,0.057308756
16517265,3,37936,1,15,30,2399,39,62.53,21.79,10682,0.057308756
16517266,3,37936,1,15,31,5979,39,64.69,23.43,11217,0.057308756
16517267,3,37936,1,15,32,2260,39,68.05,23.5,11430,0.057308756
16517268,3,37936,1,15,33,2261,39,69.18,23.6,11613,0.057308756
16517269,3,37936,1,15,34,1053,39,70.24,23.59,11878,0.057308756
16517270,3,37936,1,15,35,6286,39,72.04,23.77,12434,0.057308756
16517271,3,37936,1,15,36,1905,39,73.42,23.79,12792,0.057308756
16517272,3,37936,1,15,37,1016,39,74.42,23.81,13098,0.057308756
16517273,3,37936,1,15,38,1013,39,76.78,23.89,13542,0.057308756
16517274,3,37936,1,15,39,1017,39,77.48,23.9,13769,0.057308756
16517275,3,37936,1,15,40,1021,39,78.45,23.93,14005,0.057308756
16517276,3,37936,1,15,41,1022,39,80.11,23.91,14344,0.057308756
16517277,3,37936,1,15,42,1858,39,80.7,24.18,14472,0.057308756
16517278,3,37936,1,15,43,1258,39,82.25,23.82,14750,0.057308756
16517279,3,37936,1,15,44,1754,39,84.92,23.61,15112,0.057308756
16517280,3,37936,1,15,45,5952,39,86.51,23.52,15255,0.057308756
