line,route_id_a,route_id_b,n_rows_a,n_rows_b,n_stops_a,n_stops_b,months_a,months_b,stop_set_jaccard,row_ratio,stops_ratio,months_overlap,is_reverse_sequence,hint
22,5499,5502,62044,58748,55,52,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.947,0.945,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
19,10802,10803,53011,1514,42,40,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 4, 6, 9, 10, 11, 12]",0.907,0.029,0.952,True,False,near-identical stop sets -- likely the same physical route (variant or id replacement)
19,10802,10804,53011,48870,42,37,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.922,0.881,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
19,10802,10806,53011,348,42,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 5, 6, 7, 9, 10, 12]",0.0,0.007,0.69,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10802,10807,53011,144,42,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 5, 7, 9, 10, 12]",0.0,0.003,0.286,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10803,10804,1514,48870,40,37,"[1, 2, 4, 6, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.031,0.925,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10803,10806,1514,348,40,29,"[1, 2, 4, 6, 9, 10, 11, 12]","[1, 2, 5, 6, 7, 9, 10, 12]",0.0,0.23,0.725,True,False,"disjoint stop sets with comparable volume -- not a clear direction pair, needs manual review (check on a map)"
19,10803,10807,1514,144,40,12,"[1, 2, 4, 6, 9, 10, 11, 12]","[1, 2, 5, 7, 9, 10, 12]",0.0,0.095,0.3,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10804,10806,48870,348,37,29,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 5, 6, 7, 9, 10, 12]",0.222,0.007,0.784,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10804,10807,48870,144,37,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 5, 7, 9, 10, 12]",0.324,0.003,0.324,True,False,"sparse/rare relative to its counterpart (little data and/or non-overlapping months) -- possibly a temporary or alternate route_id rather than a regular concurrent variant, needs review"
19,10806,10807,348,144,29,12,"[1, 2, 5, 6, 7, 9, 10, 12]","[1, 2, 5, 7, 9, 10, 12]",0.414,0.414,0.414,True,False,partial stop overlap -- needs manual review
17,10398,10399,25535,34606,47,49,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.0,0.738,0.959,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
9,11107,11108,62384,52312,67,63,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.04,0.839,0.94,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
97,36950,36951,35847,41403,30,34,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.049,0.866,0.882,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
14,10179,10180,34138,34921,40,35,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",0.056,0.978,0.875,True,False,"near-zero stop overlap but similar route length/volume and overlapping months -- likely an opposite-direction pair using direction-specific stop codes, NOT necessarily a different physical route (verify on a map before assuming otherwise)"
