route_name,direction_group,route_variant_id,count,n_missing,missing_stop_names,variant_type,cluster_id,n_day_hour_slots,n_matched_to_baseline,total_time_delta_min,n_missing_blocks,segment_time_delta_min,n_segment_matches
9,direction_A,1,379,1,['חניון מלחה'],regular,,103,102,-4.3,0,,0
9,direction_A,2,22,3,"[""רד''ק"", ""עזה/רד''ק"", 'מטודלה']",regular,,13,10,-1.9,1,-3.7,10
9,direction_A,3,12,4,"[""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,11,8,-11.1,1,-5.1,8
9,direction_A,4,5,6,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", ""רד''ק"", ""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,5,2,-6.5,1,-4.0,2
9,direction_A,5,5,3,"[""עזה/רד''ק"", 'מטודלה', 'חניון מלחה']",regular,,4,4,-12.7,1,-2.4,4
9,direction_B,1,260,2,"['חניון רכבת מלחה/דרך יצחק מודעי', 'בצלאל בזק/גרשון שקד']",regular,,100,99,-3.0,1,-0.3,99
9,direction_B,2,43,7,"['סעדיה גאון', 'מטודלה', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,9_direction_B_cluster_1,22,17,-9.2,1,-8.6,17
9,direction_B,3,37,1,['חניון רכבת מלחה/דרך יצחק מודעי'],regular,,37,37,-6.4,0,,0
17,direction_A,2,27,6,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,17_direction_A_cluster_1,14,10,-7.9,1,-9.0,10
17,direction_A,3,14,6,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,17_direction_A_cluster_1,10,6,-7.0,1,-7.3,6
17,direction_A,12,1,3,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,1,1,-0.2,1,-6.5,1
17,direction_A,13,1,6,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",blocked,17_direction_A_cluster_1,1,1,-3.3,1,-3.1,1
17,direction_B,1,34,3,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",regular,,18,15,-1.0,1,-3.2,15
17,direction_B,2,32,5,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,17_direction_B_cluster_1,22,19,-4.9,1,-5.7,19
17,direction_B,3,10,1,['עזה/הרב ברלין'],regular,,10,10,-0.6,1,-1.8,10
19,direction_A,1,84,6,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,19_direction_A_cluster_1,52,49,-6.6,1,-7.5,49
19,direction_A,2,37,3,"['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה']",regular,,13,13,-3.3,0,,0
19,direction_A,3,7,3,"[""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,6,6,-3.5,1,-3.9,6
19,direction_A,4,5,3,"['מחנה עופרית/מרטין בובר', 'אקדמיה בצלאל/מרטין בובר', 'מסוף הר הצופים/מרטין בובר']",regular,,5,5,-0.4,0,,0
19,direction_A,6,2,2,"[""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,2,2,-4.5,1,-3.2,2
19,direction_A,7,2,1,['אוסישקין/נרקיס'],regular,,2,2,-4.3,1,-3.4,2
19,direction_A,8,1,1,['עזה/הרב ברלין'],regular,,1,1,-0.7,1,-0.0,1
19,direction_A,9,1,3,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור']",regular,,1,1,1.1,1,-2.8,1
19,direction_A,10,1,4,"['עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,1,1,-4.5,1,-5.6,1
19,direction_A,11,1,9,"['כניסה ראשית/הדסה עין כרם', 'מרכז הסטודנט/הדסה עין כרם', 'צומת אורה', 'עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",blocked,19_direction_A_cluster_1,1,1,-13.3,1,-10.1,1
19,direction_A,12,1,1,"[""עזה/רד''ק""]",regular,,1,1,-10.8,1,-4.1,1
19,direction_A,13,1,2,"[""עזה/רד''ק"", 'עזה/בלפור']",regular,,1,1,-4.1,1,-5.2,1
19,direction_A,16,1,4,"[""עזה/רד''ק"", ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס']",regular,,1,1,-5.3,2,-2.2,2
19,direction_A,17,1,7,"['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""רמב''ן/אבן עזרא"", ""קק''ל/אוסישקין"", 'אוסישקין/נרקיס', 'מחנה עופרית/מרטין בובר']",blocked,19_direction_A_cluster_1,1,1,-4.1,2,-2.1,2
19,direction_B,1,62,3,"['ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",regular,,33,30,-0.9,1,-2.3,30
19,direction_B,2,52,5,"['אוסישקין/נרקיס', ""אוסישקין/רמב''ן"", 'ארלוזורוב/שדרות בן מיימון', ""עזה/רד''ק"", 'עזה/הרב ברלין']",blocked,19_direction_B_cluster_1,47,45,-5.9,1,-5.5,45
19,direction_B,3,17,1,['עזה/הרב ברלין'],regular,,15,15,-0.9,1,-1.1,15
