route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
5502,1,1,5,42,3,2,6028,2,False
5502,1,2,5,42,3,2,6028,2,False
5502,1,3,5,42,3,2,6028,2,False
5502,1,4,5,42,3,2,6028,2,False
5502,1,5,5,42,3,2,6028,2,False
5502,1,6,5,42,3,2,6028,2,False
5502,1,1,6,42,3,2,6028,2,False
11107,1,1,6,67,3,2,3093,2,False
11108,1,1,6,1,3,2,1711,2,False
11108,1,1,6,2,3,2,6189,2,False
11108,1,1,6,3,3,2,202,2,False
11108,1,1,6,4,3,2,1586,2,False
11108,1,1,6,5,3,2,1525,2,False
11108,1,1,6,6,3,2,947,2,False
11108,1,1,6,7,3,2,948,2,False
11108,1,1,6,8,3,2,952,2,False
11108,1,1,6,9,3,2,953,2,False
11108,1,1,6,10,3,2,954,2,False
5502,1,2,6,42,3,2,6028,2,False
11107,1,2,6,67,3,2,3093,2,False
11108,1,2,6,1,3,2,1711,2,False
11108,1,2,6,2,3,2,6189,2,False
11108,1,2,6,3,3,2,202,2,False
11108,1,2,6,4,3,2,1586,2,False
11108,1,2,6,5,3,2,1525,2,False
11108,1,2,6,6,3,2,947,2,False
11108,1,2,6,7,3,2,948,2,False
11108,1,2,6,8,3,2,952,2,False
11108,1,2,6,9,3,2,953,2,False
11108,1,2,6,10,3,2,954,2,False
5502,1,3,6,42,3,2,6028,2,False
11107,1,3,6,67,3,2,3093,2,False
11108,1,3,6,1,3,2,1711,2,False
11108,1,3,6,2,3,2,6189,2,False
11108,1,3,6,3,3,2,202,2,False
11108,1,3,6,4,3,2,1586,2,False
11108,1,3,6,5,3,2,1525,2,False
11108,1,3,6,6,3,2,947,2,False
11108,1,3,6,7,3,2,948,2,False
11108,1,3,6,8,3,2,952,2,False
11108,1,3,6,9,3,2,953,2,False
11108,1,3,6,10,3,2,954,2,False
5502,1,4,6,42,3,2,6028,2,False
11107,1,4,6,67,3,2,3093,2,False
11108,1,4,6,1,3,2,1711,2,False
11108,1,4,6,2,3,2,6189,2,False
11108,1,4,6,3,3,2,202,2,False
11108,1,4,6,4,3,2,1586,2,False
11108,1,4,6,5,3,2,1525,2,False
11108,1,4,6,6,3,2,947,2,False
11108,1,4,6,7,3,2,948,2,False
11108,1,4,6,8,3,2,952,2,False
11108,1,4,6,9,3,2,953,2,False
11108,1,4,6,10,3,2,954,2,False
5502,1,5,6,42,3,2,6028,2,False
11107,1,5,6,67,3,2,3093,2,False
11108,1,5,6,1,3,2,1711,2,False
11108,1,5,6,2,3,2,6189,2,False
11108,1,5,6,3,3,2,202,2,False
11108,1,5,6,4,3,2,1586,2,False
11108,1,5,6,5,3,2,1525,2,False
11108,1,5,6,6,3,2,947,2,False
11108,1,5,6,7,3,2,948,2,False
11108,1,5,6,8,3,2,952,2,False
11108,1,5,6,9,3,2,953,2,False
11108,1,5,6,10,3,2,954,2,False
5502,1,6,6,42,3,2,6028,2,False
11107,1,6,6,67,3,2,3093,2,False
11108,1,6,6,1,3,2,1711,2,False
11108,1,6,6,2,3,2,6189,2,False
11108,1,6,6,3,3,2,202,2,False
11108,1,6,6,4,3,2,1586,2,False
11108,1,6,6,5,3,2,1525,2,False
11108,1,6,6,6,3,2,947,2,False
11108,1,6,6,7,3,2,948,2,False
11108,1,6,6,8,3,2,952,2,False
11108,1,6,6,9,3,2,953,2,False
11108,1,6,6,10,3,2,954,2,False
5502,1,1,7,42,3,2,6028,2,False
11107,1,1,7,67,3,2,3093,2,False
11108,1,1,7,1,3,2,1711,2,False
11108,1,1,7,2,3,2,6189,2,False
11108,1,1,7,3,3,2,202,2,False
11108,1,1,7,4,3,2,1586,2,False
11108,1,1,7,5,3,2,1525,2,False
11108,1,1,7,6,3,2,947,2,False
11108,1,1,7,7,3,2,948,2,False
11108,1,1,7,8,3,2,952,2,False
11108,1,1,7,9,3,2,953,2,False
11108,1,1,7,10,3,2,954,2,False
5502,1,2,7,42,3,2,6028,2,False
11107,1,2,7,67,3,2,3093,2,False
11108,1,2,7,1,3,2,1711,2,False
11108,1,2,7,2,3,2,6189,2,False
11108,1,2,7,3,3,2,202,2,False
11108,1,2,7,4,3,2,1586,2,False
11108,1,2,7,5,3,2,1525,2,False
11108,1,2,7,6,3,2,947,2,False
11108,1,2,7,7,3,2,948,2,False
11108,1,2,7,8,3,2,952,2,False
11108,1,2,7,9,3,2,953,2,False
11108,1,2,7,10,3,2,954,2,False
5502,1,3,7,42,3,2,6028,2,False
11107,1,3,7,67,3,2,3093,2,False
11108,1,3,7,1,3,2,1711,2,False
11108,1,3,7,2,3,2,6189,2,False
11108,1,3,7,3,3,2,202,2,False
11108,1,3,7,4,3,2,1586,2,False
11108,1,3,7,5,3,2,1525,2,False
11108,1,3,7,6,3,2,947,2,False
11108,1,3,7,7,3,2,948,2,False
11108,1,3,7,8,3,2,952,2,False
11108,1,3,7,9,3,2,953,2,False
11108,1,3,7,10,3,2,954,2,False
5502,1,4,7,42,3,2,6028,2,False
11107,1,4,7,67,3,2,3093,2,False
11108,1,4,7,1,3,2,1711,2,False
11108,1,4,7,2,3,2,6189,2,False
11108,1,4,7,3,3,2,202,2,False
11108,1,4,7,4,3,2,1586,2,False
11108,1,4,7,5,3,2,1525,2,False
11108,1,4,7,6,3,2,947,2,False
11108,1,4,7,7,3,2,948,2,False
11108,1,4,7,8,3,2,952,2,False
11108,1,4,7,9,3,2,953,2,False
11108,1,4,7,10,3,2,954,2,False
