stop_code,stop_name
255,משרד המשפטים/צלאח א דין
257,דרך שכם/לואי ונסן
264,דרך שכם/טובלר
427,קציר/קלרמון גנו
645,ויצמן/גבעת שאול
903,ארץ חפץ/שמעון הצדיק
938,מרכז פיליפ ליאון/סולד
942,פארק פישמן/גולומב
949,הרצוג/ניות
972,הכפר השוודי/סולד
1013,בן זכאי/בן בבא
1014,בני בתירא/בן זכאי
1015,בן זכאי/בן בבא
1016,בני בתירא/בן זכאי
1017,בן זכאי/דוסתאי
1021,בן זכאי/בן גמלא
1022,בן זכאי/פייר קניג
1024,בן זכאי/פייר קניג
1025,בן זכאי/בן גמלא
1028,פייר קניג/חלץ
1039,טשרניחובסקי/הרצוג
1053,טשרניחובסקי/פיכמן
1054,הרצוג/טשרניחובסקי
1079,עזה/בלפור
1080,רמב''ן/אבן עזרא
1171,יחזקאל/רבנו גרשום
1255,קניון הדר/פייר קניג
1258,פייר קניג/חלץ
1352,שד' אשכול/משמר הגבול
1435,שד' צ'רצ'יל/קציר
1444,הדסה הר הצופים/שד' צ'רצ'יל
1445,האוניברסיטה העברית/שד' צ'רצ'יל
1484,עזה/רד''ק
1487,מסוף 700/שד' נווה יעקב
1511,טהון/גולומב
1525,צומת פת/הרב הרצוג
1526,הרב הרצוג/שח''ל
1544,קק''ל/אוסישקין
1546,אוסישקין/נרקיס
1555,אוסישקין/בצלאל
1575,עזה/הרב ברלין
1586,גולומב/סן מרטין
1620,בן זכאי/דוסתאי
1629,יהודה הנשיא/בן יאיר
1630,טשרניחובסקי א'
1655,ש''י עגנון/קצנלסון
1731,שדרות לוי אשכול/קרל נטר
1754,קניון הדר/פייר קניג
1856,צומת אורנים/פייר קניג
1858,צומת אורנים/פייר קניג
1905,חוות הנוער הציוני\ש''י עגנון
1927,שד' אשכול/בר לב
2024,בצלאל/טרומפלדור
2040,גולומב/בוליביה
2181,פת/יהודה הנשיא
2246,הנביאים/הע''ח
2258,שד' הזז/הרצוג
2260,טשרניחובסקי/הרצוג
2261,טשרניחובסקי/הרב חן
2314,כניסה ראשית/הדסה עין כרם
2323,מרכז הסטודנט/הדסה עין כרם
2391,גולומב/הצלם רחמים
2399,עמק המצלבה/שד' הזז
2410,דרך הר הזיתים/נשאשיבי
2424,המטה הארצי/קלרמון גנו
2540,פועלי צדק
2569,השישה עשר/משה דיין
2573,השישה עשר
2590,חוות הנוער הציוני/ש''י עגנון
2591,טשרניחובסקי/פיכמן
2620,הסיירת הירושלמית
2624,חיל האויר/סיירת דוכיפת
2707,חיל האויר/השישה עשר
2708,חיל האויר/הסיירת הירושלמית
2710,חיל האויר/לסקוב
2753,קצנלסון/ש''י עגנון
2754,המפלצת/טהון
2802,יקותיאל אדם/דוד ניב
2804,יקותיאל אדם/תמיר
2806,תחנת רקל''ה פסגת זאב מרכז/משה דיין
2813,תחנת רקל''ה שמעון הצדיק/שדרות בר לב
2825,חיל האויר/הארבעה
2826,חיל האויר/גדוד חרמש
2830,האדמורים ליינער
2855,משה דיין א
2856,שדרות משה דיין/מזל שור
2882,שדרות משה דיין/משה רחמילביץ
2899,בר לב/שבטי ישראל
2922,קניון מלחה/א''ס הפועל   האייל
3004,דולצ'ין
3027,מרכז מסחרי/דולצ'ין
3097,פת/בעהם
3230,חיל ההנדסה/נעמי קיס
3245,הדישון/השועל
3246,האייל ב'
3249,האייל ג'
3250,האייל/היען
3300,האומן/ברעם
3301,האומן/הסדנא
3302,האומן/הסדנא
3304,הסדנא/פייר קניג
3324,ברעם/האומן
3379,הנביאים/הרב קוק
3561,קוליץ/האביבית
3605,המלך ג'ורג'/בן יהודה
3637,שדרות חיים ברלב/שדרות האוניברסיטה העברית
3668,הדישון/האייל
3678,ארץ חפץ/חטיבת הראל
3818,שטראוס/פראג
3849,תחנת רקל''ה חיל האויר/משה דיין
3857,המלך ג'ורג'/קק''ל
3858,ככר השבת/שטראוס
4037,יחזקאל/הושע
4044,טשרניחובסקי/קצנלסון
4050,טשרניחובסקי/הרב חן
4075,שמגר/אוהל יהושע
4173,תחנת רקל''ה יפו מרכז/המלך ג'ורג'
4216,גשר המיתרים/שד' הרצל
4256,גולומב/קוליץ
5200,שדרות שז''ר/בנייני האומה
5592,צומת אורה
5667,שפע חיים/דורש טוב
5854,תחנת רקל''ה סיירת דוכיפת/משה דיין
5891,הדישון/מעלות אייל
5895,בי''ס דנמרק/יהודה הנשיא
5923,האייל א'
5951,שדרות בר לב/זקס
5979,שד' הזז/הרצוג
5987,הסדנא/פייר קניג
5988,יד חרוצים/התנופה
6004,אריה דולצ'ין/יעקב צור
6081,דולצ'ין/נחמיה
9882,קוליץ/שולוב
9907,מדרשת נשמת/ברל לוקר
9908,ברל לוקר/ארסט
9921,יד חרוצים/פועלי צדק
9949,אהל יהושע/מנחת יצחק
9975,דולצ'ין/קוליץ
9981,צומת פת/יהודה הנשיא
9995,דולצ'ין/יורם רונן
9999,אהרון קציר/שדרות צ'רצ'יל
6124,בי''ס היובל/דולצ'ין
6214,שדרות משה דיין/מזל טלה
6229,ביטוח לאומי
6269,בן צבי/רופין
6268,צומת משה ברעם
6267,האומן/ברעם
6286,ש''י עגנון/קצנלסון
6300,שדרות יצחק בן צבי/בצלאל
6299,שדרות יצחק בן צבי/בצלאל
463,שדרות שז''ר/בנייני האומה
623,שדרות בן צבי/הרב שמואל ברוך
6215,פארק ארכיאולוגי/חיל האויר
1371,האוניברסיטה העברית הר הצופים/מרטין בובר
1370,מסוף הר הצופים/מרטין בובר
1368,מחנה עופרית/מרטין בובר
1367,אקדמיה בצלאל/מרטין בובר
1698,בית הנוער העברי/הרב הרצוג
1963,שדרות בן צבי/הרב שמואל ברוך
2008,צומת פת/הרב הרצוג
