route_name,direction_group,route_variant_id,count,n_stops,route_sequence_str,is_reference,n_missing,n_added,missing_stop_codes,missing_stop_names,added_stop_codes,in_display_set,cluster_id,variant_type,variant_type_confirmed
15,main,0,1201,48,3300-3301-5987-5988-9921-2540-1255-1028-1856-1024-1025-1620-1015-1014-2590-1655-2591-4050-1039-2258-6269-6299-1963-5200-6229-4216-463-623-6300-2399-5979-2260-2261-1053-6286-1905-1016-1013-1017-1021-1022-1858-1258-1754-5952-3304-3302-6267,True,0,0,[],[],[],True,,regular,True
15,main,1,4,47,3300-3301-5987-5988-9921-2540-1255-1028-1856-1024-1025-1620-1015-2590-1655-2591-4050-1039-2258-6269-6299-1963-5200-6229-4216-463-623-6300-2399-5979-2260-2261-1053-6286-1905-1016-1013-1017-1021-1022-1858-1258-1754-5952-3304-3302-6267,False,1,0,['1014'],['בני בתירא/בן זכאי'],[],False,,regular,False
22,direction_A,0,1023,55,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,True,0,0,[],[],[],True,,regular,True
22,direction_A,1,96,51,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,4,0,"['1575', '1484', '1079', '3857']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל""]",[],True,,regular,False
22,direction_A,2,2,54,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1484-1079-3857-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,1,0,['1575'],['עזה/הרב ברלין'],[],True,,regular,False
22,direction_A,3,2,47,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-3605-4173-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,8,0,"['1575', '1484', '1079', '3857', '3818', '3858', '4037', '1171']","['עזה/הרב ברלין', ""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל"", 'שטראוס/פראג', 'ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",[],True,22_direction_A_cluster_1,blocked,False
22,direction_A,4,2,52,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,3,0,"['1484', '1079', '3857']","[""עזה/רד''ק"", 'עזה/בלפור', ""המלך ג'ורג'/קק''ל""]",[],True,,regular,False
22,direction_A,5,2,51,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,4,0,"['3818', '3858', '4037', '1171']","['שטראוס/פראג', 'ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",[],False,,regular,False
22,direction_A,6,1,52,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1575-1484-1079-3857-3605-4173-3818-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,3,0,"['3858', '4037', '1171']","['ככר השבת/שטראוס', 'יחזקאל/הושע', 'יחזקאל/רבנו גרשום']",[],False,,regular,False
22,direction_A,7,1,53,3324-6268-9907-9908-3097-2181-9981-1629-5895-1014-2590-1655-2753-4044-1630-2591-4050-1039-1054-1079-3857-3605-4173-3818-3858-4037-1171-903-3678-1352-1731-1927-3637-2804-2802-2882-2806-5854-2569-2573-2620-2624-2707-2708-2710-2825-6215-2826-3849-2855-2856-6214-1487,False,2,0,"['1575', '1484']","['עזה/הרב ברלין', ""עזה/רד''ק""]",[],True,,regular,False
