gtfs_ride__end_time,gtfs_ride__gtfs_route_id,gtfs_ride__journey_ref,gtfs_ride__start_time,gtfs_ride_stop__arrival_time,gtfs_ride_stop__departure_time,gtfs_ride_stop__drop_off_type,gtfs_ride_stop__gtfs_ride_id,gtfs_ride_stop__gtfs_stop_id,gtfs_ride_stop__pickup_type,gtfs_ride_stop__shape_dist_traveled,gtfs_ride_stop__stop_sequence,gtfs_route__agency_name,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_alternative,gtfs_route__route_direction,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_short_name,gtfs_route__route_type,gtfs_stop__city,gtfs_stop__code,gtfs_stop__date,gtfs_stop__lat,gtfs_stop__lon,gtfs_stop__name,gtfs_stop_id,id,nearest_siri_vehicle_location__bearing,nearest_siri_vehicle_location__distance_from_journey_start,nearest_siri_vehicle_location__distance_from_siri_ride_stop_meters,nearest_siri_vehicle_location__lat,nearest_siri_vehicle_location__lon,nearest_siri_vehicle_location__recorded_at_time,nearest_siri_vehicle_location__siri_ride_stop_id,nearest_siri_vehicle_location__siri_snapshot_id,nearest_siri_vehicle_location__velocity,nearest_siri_vehicle_location_id,order,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__journey_gtfs_ride_id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__route_gtfs_ride_id,siri_ride__scheduled_start_time,siri_ride__siri_route_id,siri_ride__updated_duration_minutes,siri_ride__updated_first_last_vehicle_locations,siri_ride__vehicle_ref,siri_ride_id,siri_stop__code,siri_stop_id
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445443242,,,,,,,,,,,57,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5814,18475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445443165,,,,,,,,,,,56,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,699,10165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445443096,,,,,,,,,,,55,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5723,9075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445443024,,,,,,,,,,,52,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5721,12765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442948,,,,,,,,,,,51,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,1633,30407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442878,,,,,,,,,,,50,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,61448,13582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442818,,,,,,,,,,,49,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,887,9285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442769,,,,,,,,,,,48,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,883,5168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442729,,,,,,,,,,,57,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5814,18475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442681,,,,,,,,,,,46,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5715,2295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442680,,,,,,,,,,,56,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,699,10165
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442631,,,,,,,,,,,43,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5709,8071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442630,,,,,,,,,,,55,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5723,9075
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442568,,,,,,,,,,,40,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5707,22687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442567,,,,,,,,,,,54,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5962,21511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442523,,,,,,,,,,,39,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5798,2932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442522,,,,,,,,,,,52,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5721,12765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442479,,,,,,,,,,,50,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,61448,13582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442430,,,,,,,,,,,49,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,887,9285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442382,,,,,,,,,,,48,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,883,5168
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442336,,,,,,,,,,,37,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,3637,585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442335,,,,,,,,,,,46,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5715,2295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442298,,,,,,,,,,,36,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,1363,7832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442297,,,,,,,,,,,44,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5712,9282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442260,,,,,,,,,,,42,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,380,5163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442225,,,,,,,,,,,35,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,314,6482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442224,,,,,,,,,,,40,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5707,22687
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442181,,,,,,,,,,,34,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,265,4861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442180,,,,,,,,,,,39,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,5798,2932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442137,,,,,,,,,,,32,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,257,131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442092,,,,,,,,,,,31,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,255,124
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445442046,,,,,,,,,,,30,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,4136,1510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441964,,,,,,,,,,,37,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,3637,585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441921,,,,,,,,,,,29,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,5799,2935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441920,,,,,,,,,,,36,,,,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,9303,,,31621101,135091851,1363,7832
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3445441888,,,,,,,,,,,28,,,,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,9303,,,14544604,135091867,246,9085
