duration_minutes,first_vehicle_location_id,gtfs_ride__end_time,gtfs_ride__gtfs_route_id,gtfs_ride__journey_ref,gtfs_ride__start_time,gtfs_ride_id,gtfs_route__agency_name,gtfs_route__date,gtfs_route__line_ref,gtfs_route__operator_ref,gtfs_route__route_alternative,gtfs_route__route_direction,gtfs_route__route_long_name,gtfs_route__route_mkt,gtfs_route__route_short_name,gtfs_route__route_type,id,journey_gtfs_ride_id,journey_ref,last_vehicle_location_id,route_gtfs_ride_id,scheduled_start_time,siri_route__line_ref,siri_route__operator_ref,siri_route_id,updated_duration_minutes,updated_first_last_vehicle_locations,vehicle_ref
,,,,,,,,,,,,,,,,,135091848,,2026-05-02-585361093,,,2026-05-02T01:30:00+00:00,35883,42,9303,,,7288152
,,,,,,,,,,,,,,,,,135091850,,2026-05-02-585361094,,,2026-05-02T01:45:00+00:00,35883,42,9303,,,31621001
,,,,,,,,,,,,,,,,,135091851,,2026-05-02-585327237,,,2026-05-02T02:00:00+00:00,35883,42,9303,,,31621101
,,,,,,,,,,,,,,,,,135091865,,2026-05-02-0,,,2026-05-02T02:09:06+00:00,35883,42,9303,,,14544604
,,,,,,,,,,,,,,,,,135091867,,2026-05-02-585327238,,,2026-05-02T02:15:00+00:00,35883,42,9303,,,14544604
,,,,,,,,,,,,,,,,,135091877,,2026-05-02-585327239,,,2026-05-02T02:30:00+00:00,35883,42,9303,,,14544704
,,,,,,,,,,,,,,,,,135091927,,2026-05-02-585327240,,,2026-05-02T02:45:00+00:00,35883,42,9303,,,7288152
,,,,,,,,,,,,,,,,,135091953,,2026-05-02-585327241,,,2026-05-02T03:00:00+00:00,35883,42,9303,,,31621201
,,,,,,,,,,,,,,,,,135092032,,2026-05-02-585327242,,,2026-05-02T03:15:00+00:00,35883,42,9303,,,31621001
,,,,,,,,,,,,,,,,,135092089,,2026-05-02-585327243,,,2026-05-02T03:30:00+00:00,35883,42,9303,,,14545104
,,,,,,,,,,,,,,,,,135091849,,2026-05-02-585418473,,,2026-05-02T01:45:00+00:00,15832,42,7497,,,30501602
,,,,,,,,,,,,,,,,,135091875,,2026-05-02-585418474,,,2026-05-02T02:25:00+00:00,15832,42,7497,,,30502402
,,,,,,,,,,,,,,,,,135091921,,2026-05-02-585361080,,,2026-05-02T02:40:00+00:00,15832,42,7497,,,30502002
,,,,,,,,,,,,,,,,,135091949,,2026-05-02-585418475,,,2026-05-02T02:55:00+00:00,15832,42,7497,,,30502802
,,,,,,,,,,,,,,,,,135092022,,2026-05-02-584771243,,,2026-05-02T03:10:00+00:00,15832,42,7497,,,30501802
,,,,,,,,,,,,,,,,,135092060,,2026-05-02-585585473,,,2026-05-02T03:22:00+00:00,15832,42,7497,,,30501502
,,,,,,,,,,,,,,,,,135092154,,2026-05-02-585585474,,,2026-05-02T03:34:00+00:00,15832,42,7497,,,30502902
,,,,,,,,,,,,,,,,,135092211,,2026-05-02-585585475,,,2026-05-02T03:46:00+00:00,15832,42,7497,,,24045502
,,,,,,,,,,,,,,,,,135092244,,2026-05-02-0,,,2026-05-02T03:39:05+00:00,15832,42,7497,,,30503202
,,,,,,,,,,,,,,,,,135092250,,2026-05-02-585585476,,,2026-05-02T03:58:00+00:00,15832,42,7497,,,30503202
,,,,,,,,,,,,,,,,,135091855,,2026-05-02-585218408,,,2026-05-02T02:00:00+00:00,35886,42,9302,,,7287352
,,,,,,,,,,,,,,,,,135091868,,2026-05-02-585360899,,,2026-05-02T02:20:00+00:00,35886,42,9302,,,7287952
,,,,,,,,,,,,,,,,,135091907,,2026-05-02-585360900,,,2026-05-02T02:40:00+00:00,35886,42,9302,,,7288252
,,,,,,,,,,,,,,,,,135091978,,2026-05-02-585218412,,,2026-05-02T03:00:00+00:00,35886,42,9302,,,7287352
,,,,,,,,,,,,,,,,,135092019,,2026-05-02-0,,,2026-05-02T03:09:31+00:00,35886,42,9302,,,7287552
,,,,,,,,,,,,,,,,,135092120,,2026-05-02-585218415,,,2026-05-02T03:30:00+00:00,35886,42,9302,,,7287652
,,,,,,,,,,,,,,,,,135092151,,2026-05-02-585218416,,,2026-05-02T03:40:00+00:00,35886,42,9302,,,7287552
,,,,,,,,,,,,,,,,,135092205,,2026-05-02-585218417,,,2026-05-02T03:50:00+00:00,35886,42,9302,,,7288252
,,,,,,,,,,,,,,,,,135092246,,2026-05-02-585218418,,,2026-05-02T04:00:00+00:00,35886,42,9302,,,7288352
,,,,,,,,,,,,,,,,,135092363,,2026-05-02-585218419,,,2026-05-02T04:10:00+00:00,35886,42,9302,,,7287352
,,,,,,,,,,,,,,,,,135091852,,2026-05-02-585372849,,,2026-05-02T02:00:00+00:00,30568,42,8218,,,38658501
,,,,,,,,,,,,,,,,,135091863,,2026-05-02-585415427,,,2026-05-02T02:12:00+00:00,30568,42,8218,,,5237039
,,,,,,,,,,,,,,,,,135091873,,2026-05-02-585415428,,,2026-05-02T02:24:00+00:00,30568,42,8218,,,17665902
,,,,,,,,,,,,,,,,,135091904,,2026-05-02-585415429,,,2026-05-02T02:36:00+00:00,30568,42,8218,,,38661901
,,,,,,,,,,,,,,,,,135091929,,2026-05-02-585415430,,,2026-05-02T02:48:00+00:00,30568,42,8218,,,30503102
,,,,,,,,,,,,,,,,,135091964,,2026-05-02-584902384,,,2026-05-02T03:00:00+00:00,30568,42,8218,,,8128084
,,,,,,,,,,,,,,,,,135092035,,2026-05-02-585415431,,,2026-05-02T03:12:00+00:00,30568,42,8218,,,38658501
,,,,,,,,,,,,,,,,,135092061,,2026-05-02-585415432,,,2026-05-02T03:24:00+00:00,30568,42,8218,,,5237039
,,,,,,,,,,,,,,,,,135092118,,2026-05-02-585415433,,,2026-05-02T03:36:00+00:00,30568,42,8218,,,17665902
,,,,,,,,,,,,,,,,,135092212,,2026-05-02-585415434,,,2026-05-02T03:48:00+00:00,30568,42,8218,,,38661901
,,,,,,,,,,,,,,,,,135091856,,2026-05-02-585219231,,,2026-05-02T02:00:00+00:00,35951,42,9304,,,42798702
,,,,,,,,,,,,,,,,,135091894,,2026-05-02-585219232,,,2026-05-02T02:30:00+00:00,35951,42,9304,,,74735102
,,,,,,,,,,,,,,,,,135091984,,2026-05-02-585219233,,,2026-05-02T03:00:00+00:00,35951,42,9304,,,74735002
,,,,,,,,,,,,,,,,,135092051,,2026-05-02-585219234,,,2026-05-02T03:20:00+00:00,35951,42,9304,,,42798602
,,,,,,,,,,,,,,,,,135092214,,2026-05-02-585219235,,,2026-05-02T03:40:00+00:00,35951,42,9304,,,42797602
,,,,,,,,,,,,,,,,,135092305,,2026-05-02-585219236,,,2026-05-02T04:00:00+00:00,35951,42,9304,,,67544002
,,,,,,,,,,,,,,,,,135092447,,2026-05-02-585219237,,,2026-05-02T04:20:00+00:00,35951,42,9304,,,67543902
,,,,,,,,,,,,,,,,,135092617,,2026-05-02-585219238,,,2026-05-02T04:40:00+00:00,35951,42,9304,,,42798102
,,,,,,,,,,,,,,,,,135092736,,2026-05-02-585219239,,,2026-05-02T05:00:00+00:00,35951,42,9304,,,42798402
,,,,,,,,,,,,,,,,,135092838,,2026-05-02-585219240,,,2026-05-02T05:20:00+00:00,35951,42,9304,,,74735002
