bearing,distance_from_journey_start,distance_from_siri_ride_stop_meters,id,lat,lon,recorded_at_time,siri_ride__duration_minutes,siri_ride__first_vehicle_location_id,siri_ride__gtfs_ride_id,siri_ride__id,siri_ride__journey_ref,siri_ride__last_vehicle_location_id,siri_ride__scheduled_start_time,siri_ride__vehicle_ref,siri_ride_stop_id,siri_route__id,siri_route__line_ref,siri_route__operator_ref,siri_snapshot__snapshot_id,siri_snapshot_id,velocity
316,0,,7795975930,31.863084,35.227474,2026-05-02T01:28:46+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440802,9303,35883,42,2026/05/02/01/29,2208544,0
53,0,,7795975970,31.863103,35.227497,2026-05-02T01:29:43+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440802,9303,35883,42,2026/05/02/01/30,2208545,1
208,150,,7795976009,31.862089,35.226414,2026-05-02T01:30:46+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440802,9303,35883,42,2026/05/02/01/31,2208546,21
226,650,,7795976048,31.860875,35.221163,2026-05-02T01:31:32+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440802,9303,35883,42,2026/05/02/01/32,2208547,19
178,1381,,7795976087,31.859628,35.215346,2026-05-02T01:32:47+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440859,9303,35883,42,2026/05/02/01/33,2208548,35
154,1781,,7795976126,31.856608,35.215925,2026-05-02T01:34:03+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440859,9303,35883,42,2026/05/02/01/34,2208549,0
157,1781,,7795976164,31.856376,35.216061,2026-05-02T01:35:03+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440859,9303,35883,42,2026/05/02/01/35,2208550,23
172,2498,,7795976202,31.851636,35.21782,2026-05-02T01:36:03+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440901,9303,35883,42,2026/05/02/01/36,2208551,48
90,3248,,7795976239,31.849408,35.223085,2026-05-02T01:37:10+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440915,9303,35883,42,2026/05/02/01/37,2208552,56
166,3892,,7795976275,31.847147,35.228439,2026-05-02T01:38:06+00:00,,,,135091848,2026-05-02-585361093,,2026-05-02T01:30:00+00:00,7288152,3445440928,9303,35883,42,2026/05/02/01/38,2208553,41
